sanskrit_onset,chinese_char,count
,阿,81
,優,13
,伊,8
,鬱,8
,鄔,6
,烏,5
,鴦,4
,哩,3
,一,3
,盎,3
,漚,2
,郁,2
,日,1
,閼,1
,央,1
,嚧,1
,闇,1
,菴,1
,憂,1
,殟,1
,盧,1
,頞,1
,縊,1
,蓬,1
,鳥,1
,翳,1
,欝,1
,虛,1
,因,1
b,菩,5
b,波,2
b,佛,2
b,頻,2
b,吠,1
b,麼,1
b,漫,1
b,盤,1
b,比,1
b,浮,1
b,民,1
b,巴,1
b,跋,1
bh,毘,5
bh,婆,4
bh,跋,4
bh,比,3
bh,佛,1
bh,菩,1
bh,維,1
bh,嘙,1
bh,滼,1
bh,吠,1
bh,不,1
bh,訶,1
bh,陛,1
bh,婢,1
bh,步,1
bh,補,1
bh,扶,1
bh,浮,1
bh,摩,1
bhr,婆,3
bhr,毘,1
br,梵,1
c,支,6
c,遮,6
c,闍,5
c,左,3
c,舍,2
c,折,2
c,旃,2
c,嗟,1
c,者,1
c,酌,1
c,瞻,1
c,占,1
c,柘,1
c,修,1
c,脂,1
c,真,1
c,至,1
c,注,1
cch,闡,3
ch,車,1
ch,製,1
d,陀,23
d,提,9
d,達,7
d,地,6
d,頭,3
d,部,2
d,檀,2
d,天,1
d,跡,1
d,曇,1
d,娜,1
d,長,1
d,突,1
d,論,1
d,正,1
d,但,1
d,禰,1
d,諾,1
d,羅,1
d,拖,1
d,犁,1
d,多,1
d,隣,1
ddh,陀,5
ddh,達,1
ddh,地,1
ddh,檀,1
ddh,馱,1
ddh,豆,1
dg,伽,1
dh,提,10
dh,達,6
dh,陀,6
dh,馱,5
dh,地,2
dh,駄,1
dh,拕,1
dh,曇,1
dh,陁,1
dh,帝,1
dh,碪,1
dh,盧,1
dh,毘,1
dh,定,1
dhy,田,3
dhy,陀,2
dr,陀,2
dr,墮,1
dr,堕,1
dr,利,1
g,伽,17
g,誐,6
g,迦,4
g,揭,3
g,蘖,3
g,瞿,2
g,外,2
g,乾,2
g,含,2
g,高,2
g,彥,1
g,加,1
g,金,1
g,香,1
g,哦,1
g,笈,1
g,居,1
g,喬,1
g,虐,1
g,健,1
g,菩,1
g,崛,1
g,憍,1
