chinese_char,source_syllable,p_syllable_given_char,path
㖸,gha,0.2791,direct
㖸,ghu,0.1099,direct
㖸,ghā,0.0583,direct
㖸,kra,0.0051,direct
㖸,sro,0.0051,direct
㘕,laṃ,0.1279,direct
㘕,lan,0.0321,direct
㘕,le,0.0321,direct
㘕,lak,0.0311,direct
㘕,lum,0.0311,direct
䠠,ta,0.2285,lhan_backoff
䠠,da,0.1125,lhan_backoff
䠠,ti,0.1037,lhan_backoff
䠠,ḍa,0.0598,lhan_backoff
䠠,dha,0.0475,lhan_backoff
一,ic,0.1013,direct
一,vās,0.0881,direct
一,vaj,0.052,direct
一,vas,0.052,direct
一,va,0.0295,direct
丁,tam,0.0258,direct
丁,tañ,0.0258,direct
丁,tuj,0.0258,direct
丁,tāj,0.0258,direct
丁,tatk,0.0253,direct
七,sap,0.1141,direct
七,sat,0.0279,direct
七,saṃg,0.0279,direct
七,sūt,0.0279,direct
七,sad,0.0273,direct
三,sa,0.084,direct
三,sam,0.0728,direct
三,saṃ,0.0459,direct
三,sat,0.0407,direct
三,saṃg,0.0407,direct
上,kra,0.0092,direct
上,sro,0.0092,direct
上,ña,0.0092,direct
上,ñā,0.0092,direct
上,śma,0.0092,direct
不,bhe,0.1291,direct
不,bhaṅ,0.0325,direct
不,bhuk,0.0325,direct
不,bhās,0.0325,direct
不,bhā,0.0305,direct
且,ca,0.1805,lhan_backoff
且,ja,0.0977,lhan_backoff
且,cā,0.0752,lhan_backoff
且,jā,0.0677,lhan_backoff
且,cī,0.0677,lhan_backoff
世,śe,0.1666,direct
世,śa,0.0588,direct
世,śam,0.0241,direct
世,śat,0.0241,direct
世,śud,0.0241,direct
丘,kṣa,0.142,direct
丘,kṣan,0.142,direct
丘,kṣud,0.142,direct
丘,kṣān,0.142,direct
丹,tam,0.0258,direct
丹,tañ,0.0258,direct
丹,tuj,0.0258,direct
丹,tāj,0.0258,direct
丹,tatk,0.0253,direct
之,kra,0.0092,direct
之,sro,0.0092,direct
之,ña,0.0092,direct
之,ñā,0.0092,direct
之,śma,0.0092,direct
乘,kra,0.0092,direct
乘,sro,0.0092,direct
乘,ña,0.0092,direct
乘,ñā,0.0092,direct
乘,śma,0.0092,direct
乞,ka,0.3398,lhan_backoff
乞,ga,0.145,lhan_backoff
乞,ku,0.0844,lhan_backoff
乞,kā,0.039,lhan_backoff
乞,kha,0.0368,lhan_backoff
也,ya,0.0769,direct
也,yan,0.0536,direct
也,yast,0.0536,direct
也,yaḥ,0.0536,direct
也,yut,0.0536,direct
乾,gaṅ,0.102,direct
乾,gan,0.0945,direct
乾,gī,0.0403,direct
乾,gar,0.0387,direct
乾,gañ,0.0387,direct
于,vār,0.2317,direct
于,vast,0.0358,direct
于,vat,0.0358,direct
于,vī,0.0358,direct
于,vaj,0.0343,direct
亘,ka,0.3398,lhan_backoff
亘,ga,0.145,lhan_backoff
亘,ku,0.0844,lhan_backoff
亘,kā,0.039,lhan_backoff
亘,kha,0.0368,lhan_backoff
亙,mak,0.0192,direct
亙,mat,0.0192,direct
亙,maṃ,0.0192,direct
亙,miṃ,0.0192,direct
亙,mū,0.0192,direct
亦,ya,0.6259,lhan_backoff
亦,yā,0.0863,lhan_backoff
亦,yan,0.0576,lhan_backoff
亦,yak,0.0432,lhan_backoff
亦,yu,0.036,lhan_backoff
人,kra,0.0092,direct
人,sro,0.0092,direct
人,ña,0.0092,direct
人,ñā,0.0092,direct
人,śma,0.0092,direct
他,tha,0.3747,direct
他,thā,0.2591,direct
他,thu,0.1404,direct
他,ṭha,0.0588,direct
他,ṭhi,0.0252,direct
仙,kra,0.0092,direct
仙,sro,0.0092,direct
仙,ña,0.0092,direct
仙,ñā,0.0092,direct
仙,śma,0.0092,direct
以,ya,0.6259,lhan_backoff
以,yā,0.0863,lhan_backoff
以,yan,0.0576,lhan_backoff
以,yak,0.0432,lhan_backoff
以,yu,0.036,lhan_backoff
仰,ṅa,0.2898,direct
仰,ṅan,0.1112,direct
仰,kra,0.0055,direct
仰,sro,0.0055,direct
仰,ña,0.0055,direct
企,hi,0.1482,direct
企,hatt,0.041,direct
企,has,0.0388,direct
企,hat,0.0388,direct
企,haṃ,0.0388,direct
伊,i,0.1096,direct
伊,ī,0.0594,direct
伊,hat,0.043,direct
伊,an,0.028,direct
伊,e,0.028,direct
伐,va,0.0755,direct
伐,vast,0.0328,direct
伐,vat,0.0328,direct
伐,vī,0.0328,direct
伐,vaj,0.0315,direct
休,kra,0.0092,direct
休,sro,0.0092,direct
休,ña,0.0092,direct
休,ñā,0.0092,direct
休,śma,0.0092,direct
伯,pa,0.134,lhan_backoff
伯,pā,0.1275,lhan_backoff
伯,pu,0.0752,lhan_backoff
伯,pi,0.0523,lhan_backoff
伯,bha,0.0425,lhan_backoff
伴,pāṇ,0.1025,direct
伴,pas,0.0251,direct
伴,paṃ,0.0251,direct
伴,pit,0.0251,direct
伴,put,0.0251,direct
伽,ghā,0.0943,direct
伽,ga,0.0632,direct
伽,gā,0.0525,direct
伽,gha,0.038,direct
伽,gī,0.0364,direct
但,da,0.0471,direct
但,dan,0.0349,direct
但,dar,0.0349,direct
但,deḥ,0.0349,direct
但,dit,0.0349,direct
佉,kha,0.1833,direct
佉,khak,0.1057,direct
佉,khā,0.0965,direct
佉,kra,0.0057,direct
佉,sro,0.0057,direct
低,kra,0.0092,direct
低,sro,0.0092,direct
低,ña,0.0092,direct
低,ñā,0.0092,direct
低,śma,0.0092,direct
佛,bud,0.2079,direct
佛,bo,0.0489,direct
佛,bim,0.0337,direct
佛,bha,0.0321,direct
佛,be,0.0311,direct
侘,ṭa,0.1326,direct
侘,ṭi,0.0771,direct
侘,ṭan,0.0718,direct
侘,ṭā,0.0718,direct
侘,ṭī,0.0597,direct
侯,ka,0.3398,lhan_backoff
侯,ga,0.145,lhan_backoff
侯,ku,0.0844,lhan_backoff
侯,kā,0.039,lhan_backoff
侯,kha,0.0368,lhan_backoff
係,hi,0.1482,direct
係,hatt,0.041,direct
係,has,0.0388,direct
係,hat,0.0388,direct
係,haṃ,0.0388,direct
俄,ṅa,0.2898,direct
俄,ṅan,0.1112,direct
俄,kra,0.0055,direct
俄,sro,0.0055,direct
俄,ña,0.0055,direct
信,sa,0.1126,lhan_backoff
信,ṣa,0.0852,lhan_backoff
信,su,0.0852,lhan_backoff
信,ṣi,0.0797,lhan_backoff
信,saṃ,0.0797,lhan_backoff
修,su,0.0782,direct
修,ci,0.049,direct
修,sat,0.0302,direct
修,saṃg,0.0302,direct
修,sūt,0.0302,direct
俱,ku,0.0842,direct
俱,kot,0.0476,direct
俱,ko,0.0396,direct
俱,kak,0.0324,direct
俱,kau,0.0324,direct
俾,pa,0.134,lhan_backoff
俾,pā,0.1275,lhan_backoff
俾,pu,0.0752,lhan_backoff
俾,pi,0.0523,lhan_backoff
俾,bha,0.0425,lhan_backoff
倍,pa,0.134,lhan_backoff
倍,pā,0.1275,lhan_backoff
倍,pu,0.0752,lhan_backoff
倍,pi,0.0523,lhan_backoff
倍,bha,0.0425,lhan_backoff
倘,ca,0.1805,lhan_backoff
倘,ja,0.0977,lhan_backoff
倘,cā,0.0752,lhan_backoff
倘,jā,0.0677,lhan_backoff
倘,cī,0.0677,lhan_backoff
倫,ra,0.3703,lhan_backoff
倫,la,0.1698,lhan_backoff
倫,rī,0.0849,lhan_backoff
倫,ru,0.0825,lhan_backoff
倫,rā,0.0684,lhan_backoff
偈,ka,0.3398,lhan_backoff
偈,ga,0.145,lhan_backoff
偈,ku,0.0844,lhan_backoff
偈,kā,0.039,lhan_backoff
偈,kha,0.0368,lhan_backoff
健,gaṃ,0.201,direct
健,gī,0.0292,direct
健,gar,0.028,direct
健,gañ,0.028,direct
健,gaḥ,0.028,direct
傲,ga,0.4653,lhan_backoff
傲,gha,0.0694,lhan_backoff
傲,ghā,0.0694,lhan_backoff
傲,gā,0.0625,lhan_backoff
傲,gu,0.0556,lhan_backoff
僊,sat,0.0225,direct
僊,saṃg,0.0225,direct
僊,sūt,0.0225,direct
僊,sad,0.022,direct
僊,saun,0.022,direct
僕,kra,0.0092,direct
僕,sro,0.0092,direct
僕,ña,0.0092,direct
僕,ñā,0.0092,direct
僕,śma,0.0092,direct
僧,saṃ,0.0943,direct
僧,saṅ,0.0731,direct
僧,sāṅ,0.0568,direct
僧,saṃkh,0.0508,direct
僧,siṃ,0.0447,direct
儗,kra,0.0092,direct
儗,sro,0.0092,direct
儗,ña,0.0092,direct
儗,ñā,0.0092,direct
儗,śma,0.0092,direct
儞,nim,0.0264,direct
儞,nir,0.0264,direct
儞,nur,0.0264,direct
儞,nai,0.0258,direct
儞,nak,0.0258,direct
優,u,0.1179,direct
優,ut,0.0387,direct
優,an,0.0372,direct
優,e,0.0372,direct
優,iṣ,0.0372,direct
兀,ga,0.4653,lhan_backoff
兀,gha,0.0694,lhan_backoff
兀,ghā,0.0694,lhan_backoff
兀,gā,0.0625,lhan_backoff
兀,gu,0.0556,lhan_backoff
先,sa,0.1126,lhan_backoff
先,ṣa,0.0852,lhan_backoff
先,su,0.0852,lhan_backoff
先,ṣi,0.0797,lhan_backoff
先,saṃ,0.0797,lhan_backoff
克,ka,0.3398,lhan_backoff
克,ga,0.145,lhan_backoff
克,ku,0.0844,lhan_backoff
克,kā,0.039,lhan_backoff
克,kha,0.0368,lhan_backoff
兒,a,0.2218,lhan_backoff
兒,u,0.1479,lhan_backoff
兒,ā,0.144,lhan_backoff
兒,hā,0.0778,lhan_backoff
兒,i,0.0467,lhan_backoff
兜,tu,0.259,direct
兜,tum,0.0639,direct
兜,tam,0.0365,direct
兜,tañ,0.0365,direct
兜,tuj,0.0365,direct
公,ka,0.3398,lhan_backoff
公,ga,0.145,lhan_backoff
公,ku,0.0844,lhan_backoff
公,kā,0.039,lhan_backoff
公,kha,0.0368,lhan_backoff
六,sat,0.0225,direct
六,saṃg,0.0225,direct
六,sūt,0.0225,direct
六,sad,0.022,direct
六,saun,0.022,direct
具,kra,0.0092,direct
具,sro,0.0092,direct
具,ña,0.0092,direct
具,ñā,0.0092,direct
具,śma,0.0092,direct
典,tam,0.0258,direct
典,tañ,0.0258,direct
典,tuj,0.0258,direct
典,tāj,0.0258,direct
典,tatk,0.0253,direct
冒,kra,0.0092,direct
冒,sro,0.0092,direct
冒,ña,0.0092,direct
冒,ñā,0.0092,direct
冒,śma,0.0092,direct
冶,ya,0.0524,direct
冶,yan,0.0372,direct
冶,yast,0.0372,direct
冶,yaḥ,0.0372,direct
冶,yut,0.0372,direct
几,ka,0.3398,lhan_backoff
几,ga,0.145,lhan_backoff
几,ku,0.0844,lhan_backoff
几,kā,0.039,lhan_backoff
几,kha,0.0368,lhan_backoff
凡,pas,0.0206,direct
凡,paṃ,0.0206,direct
凡,pit,0.0206,direct
凡,put,0.0206,direct
凡,puṣ,0.0206,direct
分,puṇ,0.1619,direct
分,pas,0.0234,direct
分,paṃ,0.0234,direct
分,pit,0.0234,direct
分,put,0.0234,direct
切,kra,0.0092,direct
切,sro,0.0092,direct
切,ña,0.0092,direct
切,ñā,0.0092,direct
切,śma,0.0092,direct
利,rī,0.1274,direct
利,ri,0.0779,direct
利,lī,0.0413,direct
利,rad,0.0309,direct
利,raj,0.0309,direct
刪,saṃs,0.0714,direct
刪,saṃ,0.0469,direct
刪,sat,0.0283,direct
刪,saṃg,0.0283,direct
刪,sūt,0.0283,direct
刹,ta,0.2285,lhan_backoff
刹,da,0.1125,lhan_backoff
刹,ti,0.1037,lhan_backoff
刹,ḍa,0.0598,lhan_backoff
刹,dha,0.0475,lhan_backoff
剌,lak,0.0999,direct
剌,lan,0.039,direct
剌,le,0.039,direct
剌,lum,0.0378,direct
剌,laṃ,0.0368,direct
剎,kṣa,0.1002,direct
剎,kṣan,0.1002,direct
剎,kṣud,0.1002,direct
剎,kṣān,0.1002,direct
剎,kra,0.0056,direct
剛,kra,0.0092,direct
剛,sro,0.0092,direct
剛,ña,0.0092,direct
剛,ñā,0.0092,direct
剛,śma,0.0092,direct
