corpus,source_coda,chinese_coda,count
Sanskrit (Later Han),p,t,5
Sanskrit (Later Han),p,open (vowel),2
Sanskrit (Later Han),p,p,2
Sanskrit (Later Han),p,k,1
Sanskrit (Later Han),t,t,31
Sanskrit (Later Han),t,open (vowel),17
Sanskrit (Later Han),t,k,9
Sanskrit (Later Han),t,n,1
Sanskrit (Later Han),k,k,11
Sanskrit (Later Han),k,open (vowel),9
Sanskrit (Later Han),k,t,2
Sanskrit (Later Han),k,ŋ,1
Sanskrit (Later Han),m,m,12
Sanskrit (Later Han),m,n,6
Sanskrit (Later Han),m,open (vowel),4
Sanskrit (Later Han),m,ŋ,1
Sanskrit (Later Han),n,n,94
Sanskrit (Later Han),n,open (vowel),13
Sanskrit (Later Han),n,ŋ,4
Sanskrit (Later Han),ŋ,ŋ,18
Sanskrit (Later Han),ŋ,n,3
Sanskrit (Later Han),ŋ,open (vowel),2
Sanskrit (Later Han),ŋ,m,1
