headword,gloss_lat,codex_page,scan_page
Aazam,homo,66,395
Aiaz,caelum serenum,181,395
Aygakladi,perdidit,182,395
Ayti,dixit,161,395
Ayna,dies Veneris,80,395
Aypsiz,sine macula,189,395
Ayringler,eligete,141,395
Ayl,cingulum,12,395
Ayli,gravida,215,395
Aynalamas,non delectatur,165,395
Ayri,distinctus,143,395
Aurex,latrina,120,395
Ac,albus,108,396
Acča,pecunia,91,396
Acsa,vesper,80,396
Acmac,fatuus,116,396
Achel,sapientia,53,396
Ag,rete,70,396
Agač,lignum,89,396
Agengič,scala,120,396
Ager,gravis,76,396
Agermac,infirmitas,86,396
Aha,fluit,207,396
Ahim,flumen,222,396
Ahča,i. q. acča,144,396
Ay,luna,78,396
Aya,palma manus,112,396
Ayach,pes,113,396
Ayadi,recusavit,227,396
Aianirmen,parco,132,396
Ayas,i. q. aiaz,82,396
Agerlarmen,honoro,30,396
Aguxlug,frenum,122,396
Agsah,claudus,117,396
Agbet,omnino,69,396
Agriki,"s. agrigi, cf. agrich",187,396
Agrurmen,doleo,19,396
Aghlic,albedo,86,396
Ač,famelicus,144,396
Ažarmen,aperio,7,396
Ačebergil,expone,233,396
Ačergansa,si moeret,158,396
Ačirganurmen,amaresco,180,396
Ačuv,amaritudo,193,396
Ačchuz,clavis,119,396
At,equus,121,396
Atagirmen,nomino,40,397
Atas,cognominis,226,397
Asau,maximopere,157,397
Atar,aromatopola,91,397
Atov,insula,139,397
Atlanurmen,equito,24,397
Atlarmen,transgredior,222,397
Atli,nominatus,144,397
Atlu,chisi «eques,105,397
Anus,adhuc,64,397
Anginza,donec,65,397
Anglarmen,intelligo,31,397
Ančak,illico,165,397
Ant,juramentum,138,397
Anda,illuc,67,397
Andi,talis,158,397
Andir,legit,225,397
Anna,mater,114,397
Anzagina,aliquantulum,64,397
As,famelicus,194,397
Asarmen,pendo,43,397
Asen,nuptiae,39,397
Asigirmen,festino,137,397
Asildi,pependit,200,397
Asuch,amator,115,397
Askine,paucus,147,397
Ascara,palam,69,397
Astanči,revenditor,101,397
Astelan,usura,85,397
Astinda,subtus,70,397
Astri,"multum, «valde",161,397
Astlan,leo,127,397
Assov,adjutorium,132,397
Asrar,alit,195,397
Asrov,protectio,197,397
Aslak,desertum,137,397
Asli,frumentum,130,397
Az,fames,27,397
Azasti,aberravit,222,397
Azi,turlu «amare,64,397
Azik,s. azih utilitas,185,397
Azih,edulium,194,397
Aziz,i. q. haziz,233,397
Azti,trangressus est,164,397
Azturmen,famesco,26,397
Apostoler,apostoli,201,398
Abaga,avunculus,114,398
Abuscha,senex,87,398
Abzû,i. q. avzu «os ejus,147,398
Abramac,defensio,21,398
Abrarmen,defendo,21,398
Amirak,amicus,229,398
