corpus,source_onset,chinese_initial,count
"Sanskrit (Later Han transcriptions, verified 音譯)",?,ṭ,4
"Sanskrit (Later Han transcriptions, verified 音譯)",?,ŋ,4
"Sanskrit (Later Han transcriptions, verified 音譯)",?,ṇ,3
"Sanskrit (Later Han transcriptions, verified 音譯)",?,ṭʰ,1
"Sanskrit (Later Han transcriptions, verified 音譯)",?,g,1
"Sanskrit (Later Han transcriptions, verified 音譯)",?,d,1
"Sanskrit (Later Han transcriptions, verified 音譯)",?,kʰ,1
"Sanskrit (Later Han transcriptions, verified 音譯)",?,zero/ʔ,1
"Sanskrit (Later Han transcriptions, verified 音譯)",?,l,1
"Sanskrit (Later Han transcriptions, verified 音譯)",a,zero/ʔ,78
"Sanskrit (Later Han transcriptions, verified 音譯)",a,n,1
"Sanskrit (Later Han transcriptions, verified 音譯)",b,b,18
"Sanskrit (Later Han transcriptions, verified 音譯)",b,m,3
"Sanskrit (Later Han transcriptions, verified 音譯)",b,p,1
"Sanskrit (Later Han transcriptions, verified 音譯)",bh,b,8
"Sanskrit (Later Han transcriptions, verified 音譯)",bh,tś,1
"Sanskrit (Later Han transcriptions, verified 音譯)",bh,m,1
"Sanskrit (Later Han transcriptions, verified 音譯)",c,tś,10
"Sanskrit (Later Han transcriptions, verified 音譯)",c,ts,4
"Sanskrit (Later Han transcriptions, verified 音譯)",ch,k,1
"Sanskrit (Later Han transcriptions, verified 音譯)",ch,tś,1
"Sanskrit (Later Han transcriptions, verified 音譯)",d,d,7
"Sanskrit (Later Han transcriptions, verified 音譯)",d,n,1
"Sanskrit (Later Han transcriptions, verified 音譯)",d,ḍ,1
"Sanskrit (Later Han transcriptions, verified 音譯)",dh,d,10
"Sanskrit (Later Han transcriptions, verified 音譯)",dh,dź,2
"Sanskrit (Later Han transcriptions, verified 音譯)",e,zero/ʔ,1
"Sanskrit (Later Han transcriptions, verified 音譯)",g,g,14
"Sanskrit (Later Han transcriptions, verified 音譯)",g,k,11
"Sanskrit (Later Han transcriptions, verified 音譯)",g,ŋ,4
"Sanskrit (Later Han transcriptions, verified 音譯)",g,h,1
"Sanskrit (Later Han transcriptions, verified 音譯)",gh,g,4
"Sanskrit (Later Han transcriptions, verified 音譯)",h,h,11
"Sanskrit (Later Han transcriptions, verified 音譯)",h,g,4
"Sanskrit (Later Han transcriptions, verified 音譯)",h,zero/ʔ,2
"Sanskrit (Later Han transcriptions, verified 音譯)",h,k,1
"Sanskrit (Later Han transcriptions, verified 音譯)",h,ḍ,1
"Sanskrit (Later Han transcriptions, verified 音譯)",i,zero/ʔ,15
"Sanskrit (Later Han transcriptions, verified 音譯)",i,k,1
"Sanskrit (Later Han transcriptions, verified 音譯)",j,dź,5
"Sanskrit (Later Han transcriptions, verified 音譯)",j,ń,4
"Sanskrit (Later Han transcriptions, verified 音譯)",j,j,2
"Sanskrit (Later Han transcriptions, verified 音譯)",j,t,1
"Sanskrit (Later Han transcriptions, verified 音譯)",j,g,1
"Sanskrit (Later Han transcriptions, verified 音譯)",jh,dź,1
"Sanskrit (Later Han transcriptions, verified 音譯)",jh,t,1
"Sanskrit (Later Han transcriptions, verified 音譯)",k,k,87
"Sanskrit (Later Han transcriptions, verified 音譯)",k,g,17
"Sanskrit (Later Han transcriptions, verified 音譯)",k,kʰ,2
"Sanskrit (Later Han transcriptions, verified 音譯)",k,ŋ,1
"Sanskrit (Later Han transcriptions, verified 音譯)",k,t,1
"Sanskrit (Later Han transcriptions, verified 音譯)",k,tś,1
"Sanskrit (Later Han transcriptions, verified 音譯)",k,dź,1
"Sanskrit (Later Han transcriptions, verified 音譯)",k,n,1
"Sanskrit (Later Han transcriptions, verified 音譯)",kh,kʰ,9
"Sanskrit (Later Han transcriptions, verified 音譯)",kh,g,4
"Sanskrit (Later Han transcriptions, verified 音譯)",kh,k,1
"Sanskrit (Later Han transcriptions, verified 音譯)",l,l,6
"Sanskrit (Later Han transcriptions, verified 音譯)",l,zero/ʔ,1
