chinese,sanskrit,junction,position,source_has
釋迦牟尼,śākyamuni,k|k,1,once
阿耨多羅三藐三菩提,anuttarasamyaksaṃbodhi,m|m,5,once
怛他誐多,tathāgata,t|t,1,once
三昧地,samādhi,m|m,1,once
迦葉佛,kāśyapa,p|b,2,once
菩提薩埵,bodhisattva,t|t,3,twice
僧伽藍摩,saṃghārāma,m|m,3,once
隙棄羅,khakkhara,k|k,1,twice
富單那,pūtana,n|n,2,once
密特那,mithuna,t|d,1,once
莫呼勒伽,mahorāga,k|g,3,once
緊那羅,kiṃnara,n|n,1,once
兜率天,tuṣita,t|t,2,once
都率天,tuṣita,t|t,2,once
日天子,āditya,t|t,1,once
那落迦,naraka,k|k,2,once
摩訶薩埵,mahāsattva,t|t,3,twice
薩達摩,saddharma,t|d,1,once
古力迦,kulika,k|k,2,once
薩陀難陀,sadānanta,t|d,1,once
鉢孕遇,priyaṅgu,ŋ|ŋ,2,once
瞻博迦,campaka,k|k,2,once
占博迦,campaka,k|k,2,once
劫布羅,karpūra,p|p,1,once
阿三迷,asama,m|m,2,once
三曼多,samanta,m|m,1,once
怛他蘖多,tathāgata,t|t,1,once
波羅蜜多,pāramitā,t|t,3,once
拘那含牟尼,kanakamuni,m|m,3,once
三昧耶薩埵,samayasattva,m|m,1,once
三昧耶薩埵,samayasattva,t|t,4,twice
三漫多,samanta,m|m,1,once
迦畢貪,kapittha,t|t,2,twice
劫波羅,kapāla,p|p,1,once
阿含暮,āgama,m|m,2,once
三摩地,samādhi,m|m,1,once
閻曼德迦,yamāntaka,m|m,1,once
閻曼德迦,yamāntaka,k|k,3,once
伊帝曰多伽,itivṛttaka,t|t,3,twice
伊帝越多伽,itivṛttaka,t|t,3,twice
兜率陀,tuṣita,t|d,2,once
阿蘭那,araṇya,n|n,2,once
三摩耶,samaya,m|m,1,once
兜術天,tuṣita,t|t,2,once
跋陀婆羅,bhadrapāla,t|d,1,once
摩訶衍那,mahāyāna,n|n,3,once
波利質多,pārijāta,t|t,3,once
優檀那,udāna,n|n,2,once
鬱陀那,udāna,t|d,1,once
三眉底與,sammatīya,m|m,1,twice
三昧耶,samaya,m|m,1,once
鬱地延那,Uḍḍiyāna,t|d,1,once
鬱地延那,Uḍḍiyāna,n|n,3,once
鬱多羅,uttara,t|t,1,twice
鬱底迦,Uttika,t|t,1,twice
鬱低迦,Uttika,t|t,1,twice
鬱提尸,udeśin,t|d,1,once
一切相智,vastujñāna,t|t,1,once
阿摩洛果,āmalaka,k|k,3,once
一闡底迦,icchantika,t|t,1,once
一闡提柯,icchantika,t|t,1,once
悉檀多,siddhānta,t|d,1,once
三摩提,samādhi,m|m,1,once
三摩帝,samādhi,m|m,1,once
劫比羅,kapila,p|p,1,once
尼師但那,niṣīdana,n|n,3,once
梵摩渝,brahmāyus,m|m,1,once
鬱多摩,uttama,t|t,1,twice
頞真無,arciṣmat,t|t,1,once
迦諾迦跋釐墮闍,Kanakabharadrāja,k|k,2,once
三藐三佛陀,samyaksaṃbuddha,m|m,1,once
三藐三佛陀,samyaksaṃbuddha,t|d,4,once
三滿多,samanta,m|m,1,once
製諾迦,chedaka,k|k,2,once
兜率多,tuṣita,t|t,2,once
鬭瑟多,tuṣita,t|t,2,once
刪兜率陀,saṃtuṣita,t|d,3,once
鳩勿頭,kumuda,t|d,2,once
拘物頭,kumuda,t|d,2,once
俱物頭,kumuda,t|d,2,once
三耶三佛陀,samyaksaṃbuddha,t|d,4,once
設多婢灑,śatabhiṣā,t|t,1,once
富蘭那,purāṇa,n|n,2,once
闍鼻多,kṣapita,t|t,2,once
蘇曼那,sumanā,n|n,2,once
阿黎勒果,haritaki,k|k,3,once
訶黎勒果,haritaki,k|k,3,once
一闡提迦,icchantika,t|t,1,once
丁彦多,tiṅanta,ŋ|ŋ,1,once
朅地洛迦,khadiraka,t|d,1,once
朅地洛迦,khadiraka,k|k,3,once
三昧定,samādhi,m|m,1,once
阿尼律陀,aniruddha,t|d,3,once
