chinese,source,clusters,n_source_syllables,n_characters,verdict
菩提達磨,bodhidharma,rm,4,4,liquid unwritten
阿毘達摩,abhidharma,rm,4,4,liquid unwritten
雨眾外道,varṣagaṇa,rṣ,4,4,liquid unwritten
雨際外道,varṣagaṇa,rṣ,4,4,liquid unwritten
薩達摩,saddharma,rm,3,3,liquid unwritten
阿闍黎,ācārya,ry,3,3,liquid unwritten
阿舍梨,ācārya,ry,3,3,liquid unwritten
阿闍棃,ācārya,ry,3,3,liquid unwritten
阿舍棃,ācārya,ry,3,3,liquid unwritten
阿闍梨,ācārya,ry,3,3,liquid unwritten
阿遮利耶,ācārya,ry,3,4,"extra character, with an l- onset"
牟呼栗多,muhūrta,rt,3,4,"extra character, with an l- onset"
阿羯沙尼,ākarṣaṇī,rṣ,4,4,liquid unwritten
劫布羅,karpūra,rp,3,3,liquid unwritten
羯布羅,karpūra,rp,3,3,liquid unwritten
播鉢吒,parpaṭa,rp,3,3,liquid unwritten
乾陀羅,gandharva,rv,3,3,liquid unwritten
阿惟越致,avaivartika,rt,5,4,liquid unwritten
尼羅浮陀,nirarbuda,rb,4,4,liquid unwritten
一切智,sarvajñatā,rv,4,3,liquid unwritten
伽力伽只伽,karkaṭikā,rk,4,5,"extra character, with an l- onset"
業煩惱,karma-kleśa,rm,4,3,liquid unwritten
悉達羅他,siddhārtha,rth,3,4,"extra character, with an l- onset"
悉多頞他,siddhārtha,rth,3,4,"extra character, no l- onset"
阿羅漢果,arhattva,rh,3,4,"extra character, with an l- onset"
陀菟論,dhanurveda,rv,4,3,liquid unwritten
頞真無,arciṣmat,rc,3,3,liquid unwritten
蘇鉢剌尼,suparṇa,rṇ,3,4,"extra character, with an l- onset"
迦絺吉夜,kārttikeya,rt,4,4,liquid unwritten
工射之人,iṣvastrācārya,ry,5,4,liquid unwritten
修提舍那,sudarśana,rś,4,4,liquid unwritten
般遮于瑟會,pañcavārṣika,rṣ,5,5,liquid unwritten
般遮于瑟,pañcavārṣika,rṣ,5,4,liquid unwritten
般闍于瑟會,pañcavārṣika,rṣ,5,5,liquid unwritten
般闍于瑟,pañcavārṣika,rṣ,5,4,liquid unwritten
伽耶山,gayāśīrṣa,rṣ,4,3,liquid unwritten
大乘十法經,daśadharma,rm,4,5,"extra character, no l- onset"
阿毘達磨俱舍釋論,Abhidharmakośaśāstra,rm,8,8,liquid unwritten
坎毘拉,kaṃpilla,ll,3,3,liquid unwritten
寧巴爾迦,nimbārka,rk,3,4,"extra character, no l- onset"
薩嚩怛他蘖多,sarvatathāgata,rv,6,6,liquid unwritten
優波離問佛經,upālipariprcchā,rc,6,6,liquid unwritten
阿迦捨蘖婆,ākāśagarbha,rbh,5,5,liquid unwritten
說一切有部,sarvāstivāda,rv,5,5,liquid unwritten
維那羅泥天,nirmāṇarati,rm,5,5,liquid unwritten
根本說一切有部尼陀那目得迦,Mūlasarvāstivādanidānamātṛkā,rv,13,13,liquid unwritten
達磨馱都,dharmadhātu,rm,4,4,liquid unwritten
毘首羯磨,viśvakarmā,rm,4,4,liquid unwritten
毘守羯磨,viśvakarmā,rm,4,4,liquid unwritten
羯句啅劍,karkoṭaka,rk,4,4,liquid unwritten
達摩馱睹,dharmadhātu,rm,4,4,liquid unwritten
長阿含經,dīrghāgama,rgh,4,4,liquid unwritten
阿唎多羅,āryatārā,ry,4,4,liquid unwritten
冶受吠陀,yajurveda,rv,4,4,liquid unwritten
耶樹薜陀,yajurveda,rv,4,4,liquid unwritten
耶受毘陀,yajurveda,rv,4,4,liquid unwritten
夜殊鞞陀,yajurveda,rv,4,4,liquid unwritten
祭祀智論,yajurveda,rv,4,4,liquid unwritten
毘首羯摩,viśvakarman,rm,4,4,liquid unwritten
虛空藏菩薩陀羅尼,ākāśagarbhadhāraṇī,rbh,8,8,liquid unwritten
優樓頻羅,uruvilvā,lv,4,4,liquid unwritten
摩阿闍梨,Bhīmācārya,ry,4,4,liquid unwritten
伽耶山頂,gayāśīrṣa,rṣ,4,4,liquid unwritten
