chinese,sanskrit,source_syllable,lhan_vowel,chinese_coda
達,bodhidharma,har,ɑt,t
達,abhidharma,har,ɑt,t
雨,varṣagaṇa,var,ɑ,open
雨,varṣagaṇa,var,ɑ,open
達,saddharma,har,ɑt,t
闍,ācārya,cār,ɑ,open
舍,ācārya,cār,a,open
闍,ācārya,cār,ɑ,open
舍,ācārya,cār,a,open
闍,ācārya,cār,ɑ,open
羯,ākarṣaṇī,kar,ɨat,t
劫,karpūra,kar,ɨɑp,p
羯,karpūra,kar,ɨat,t
播,parpaṭa,par,ɑi,open
陀,gandharva,har,ɑi,open
羅,nirarbuda,rar,ɑ,open
頞,arciṣmat,ar,ɑt,t
提,sudarśana,dar,e,open
于,pañcavārṣika,vār,ɑ,open
于,pañcavārṣika,vār,ɑ,open
達,Abhidharmakośaśāstra,har,ɑt,t
薩,sarvatathāgata,sar,ɑt,t
維,nirmāṇarati,nir,i,open
達,dharmadhātu,dhar,ɑt,t
羯,viśvakarmā,kar,ɨat,t
羯,viśvakarmā,kar,ɨat,t
羯,karkoṭaka,kar,ɨat,t
達,dharmadhātu,dhar,ɑt,t
阿,āryatārā,ār,ɑ,open
受,yajurveda,jur,u,open
樹,yajurveda,jur,o,open
受,yajurveda,jur,u,open
殊,yajurveda,jur,o,open
祀,yajurveda,jur,ɨ,open
羯,viśvakarman,kar,ɨat,t
闍,Bhīmācārya,cār,ɑ,open
山,gayāśīrṣa,śīr,an,n
