chinese,pinyin,kind,lhan,turkish_render,language,candidate,score,p_vs_null,beats_chance
頭曼,Touman,ruler/clan,do mɑnᶜ,do man,Turkish,duman,0.042,0.1067,no
頭曼,Touman,ruler/clan,do mɑnᶜ,do man,Turkish,idman,0.042,0.1067,no
頭曼,Touman,ruler/clan,do mɑnᶜ,do man,Turkish,domino,0.056,0.1067,no
頭曼,Touman,ruler/clan,do mɑnᶜ,do man,Kazakh,domna,0.0,0.04,yes
頭曼,Touman,ruler/clan,do mɑnᶜ,do man,Kazakh,duman,0.042,0.04,yes
頭曼,Touman,ruler/clan,do mɑnᶜ,do man,Kazakh,domino,0.056,0.04,yes
冒頓,Modu / Modun,ruler/clan,mək tuənᶜ,mık tuın,Turkish,makedon,0.138,0.44,no
冒頓,Modu / Modun,ruler/clan,mək tuənᶜ,mık tuın,Turkish,makedonya,0.22,0.44,no
冒頓,Modu / Modun,ruler/clan,mək tuənᶜ,mık tuın,Turkish,mektubun,0.233,0.44,no
冒頓,Modu / Modun,ruler/clan,mək tuənᶜ,mık tuın,Kazakh,mıktan,0.042,0.14,no
冒頓,Modu / Modun,ruler/clan,mək tuənᶜ,mık tuın,Kazakh,aumaktan,0.047,0.14,no
冒頓,Modu / Modun,ruler/clan,mək tuənᶜ,mık tuın,Kazakh,maktan,0.062,0.14,no
稽粥,Jizhou / Jiyu,ruler/clan,kʰeiᴮ tśuk,kei çuk,Turkish,kauçuk,0.056,0.14,no
稽粥,Jizhou / Jiyu,ruler/clan,kʰeiᴮ tśuk,kei çuk,Turkish,kaçak,0.083,0.14,no
稽粥,Jizhou / Jiyu,ruler/clan,kʰeiᴮ tśuk,kei çuk,Turkish,kaçık,0.083,0.14,no
稽粥,Jizhou / Jiyu,ruler/clan,kʰeiᴮ tśuk,kei çuk,Kazakh,kauçuk,0.056,0.1833,no
稽粥,Jizhou / Jiyu,ruler/clan,kʰeiᴮ tśuk,kei çuk,Kazakh,kauçuktı,0.122,0.1833,no
稽粥,Jizhou / Jiyu,ruler/clan,kʰeiᴮ tśuk,kei çuk,Kazakh,ketik,0.311,0.1833,no
軍臣,Junchen,ruler/clan,kun dźin,kun cin,Turkish,kantin,0.244,0.6833,no
軍臣,Junchen,ruler/clan,kun dźin,kun cin,Turkish,kanadına,0.275,0.6833,no
軍臣,Junchen,ruler/clan,kun dźin,kun cin,Turkish,kanadını,0.275,0.6833,no
軍臣,Junchen,ruler/clan,kun dźin,kun cin,Kazakh,kandan,0.275,0.7867,no
軍臣,Junchen,ruler/clan,kun dźin,kun cin,Kazakh,kanden,0.275,0.7867,no
軍臣,Junchen,ruler/clan,kun dźin,kun cin,Kazakh,kiından,0.275,0.7867,no
伊稚斜,Yizhixie,ruler/clan,ʔi ḍiᶜ ja,’i di ya,Turkish,diye,0.083,0.27,no
伊稚斜,Yizhixie,ruler/clan,ʔi ḍiᶜ ja,’i di ya,Turkish,aday,0.125,0.27,no
