chinese,reading,price,one_in,per_char,n_chars,n_syllables,roles,measured_cells,assumed_cells,note,alignment
撑犁孤塗單于,Tanrı Kutı Çarvuş,0.000000003,361471759,0.03747,6,6,SSSSSS,15,0,,ḍaŋ=tan  lei=rı  kuɑ=ku  dɑ=tı  tɑn=çar  wɑ=vuş
若鞮,İnakt,0.000000004,232393120,0.00007,2,2,SS,6,1,,ńɑk=i  de=nakt
呼都而尸道皋若鞮,Kartay Bedük İnakt,0.000004110,243285,0.12657,6,4,SSCSSC,11,0,"title element 若鞮 excluded, argued once in §9",hɑ=kar  tɑ=tay  ńə writes -y 2% x device 46%  śi=be  dou=dük  kou writes -k 82% x device 46%
且鞮侯,Çatıgka,0.000004445,224965,0.01644,3,3,SSS,7,0,,tsɑ=ça  te=tıg  go=ka
屠耆,Doğru,0.000005303,188583,0.00230,2,2,SS,5,0,,dɑ=doğ  ki=ru
撑犁,Tanrı,0.000376443,2656,0.01940,2,2,SS,5,0,,ḍaŋ=tan  lei=rı
呴犁湖,Kalık,0.000589676,1695,0.08386,3,2,SSN,5,0,,huo=ka  lei=lık  湖 writes nothing 13.7%
閼氏,Elti,0.000746639,1339,0.02732,2,2,DN,2,0,,ʔɑt=el  氏 writes nothing 13.7%
握衍朐鞮,Okyan Kutı,0.000798762,1251,0.16811,4,4,SSSS,10,0,,ʔɔk=ok  jan=yan  guo=ku  te=tı
虛閭權渠,Kalkan,0.000859114,1163,0.17120,4,2,SCSN,6,0,,hɨɑ=kal  liɑ writes -l 97% x device 46%  gyan=kan  渠 writes nothing 13.7%
烏珠留若鞮,Çal İnakt,0.000878293,1138,0.09577,3,1,NSC,3,0,"title element 若鞮 excluded, argued once in §9",烏 writes nothing 13.7%  tśo=çal  liu writes -l 97% x device 46%
單于,Çarvuş,0.001183810,844,0.03441,2,2,SS,6,0,,tɑn=çar  wɑ=vuş
骨都侯,Kutak,0.001762706,567,0.12080,3,2,SSN,6,0,,kuət=ku  tɑ=tak  侯 writes nothing 13.7%
且渠,Çaka,0.001777649,562,0.04216,2,2,SS,4,0,,tsɑ=ça  gɨɑ=ka
壺衍鞮,Kayantı,0.002896446,345,0.14255,3,3,SSS,7,0,,gɑ=ka  jan=yan  te=tı
服匿,Bukaç,0.004204825,237,0.06484,2,2,DN,2,0,,buk=bu  匿 writes nothing 13.7%
孤塗,Kutı,0.006207891,161,0.07879,2,2,SS,4,0,,kuɑ=ku  dɑ=tı
攣鞮,-rındaş,0.006939709,144,0.08330,2,2,SS,6,0,,lyan=rın  de=daş
狐鹿姑,Kurluga,0.007811251,128,0.19841,3,3,SSS,8,0,,ɣuɑ=kur  lok=lu  kɑ=ga
復株累若鞮,Büktel İnakt,0.008792171,113,0.20639,3,2,SSC,6,0,"title element 若鞮 excluded, argued once in §9",buk=bük  ṭio=tel  lui writes -l 97% x device 46%
甌脫,Otag,0.013632433,73,0.11676,2,2,SS,5,0,,ʔo=o  tʰuɑs=tag
伊稚斜,İdiya,0.015040494,66,0.24684,3,3,SSS,6,0,,ʔi=i  ḍi=di  ja=ya
當戶,Tamga,0.021321316,46,0.14602,2,2,SS,5,0,,tɑŋ=tam  gɑ=ga
羯,Kır,0.023549712,42,0.02355,1,1,S,3,0,,kɨat=kır
胡祿,Külüg,0.023892973,41,0.15457,2,2,SS,5,0,,gɔ=kü  lok=lüg
虛連題,Karındaş,0.040308747,24,0.34287,3,3,SSS,8,0,,hɨɑ=ka  lian=rın  de=daş
匈奴,Hung,0.043452765,23,0.20845,2,1,SN,3,0,,huoŋ=huŋ  奴 writes nothing 13.7%
車牙若鞮,Tunga İnakt,0.044840257,22,0.21176,2,2,SS,4,0,"title element 若鞮 excluded, argued once in §9",tśʰa=tu  ŋa=ŋa
詹師廬,Çamşılı,0.058323147,17,0.38781,3,3,SSS,7,0,,tśam=çam  ṣi=şı  liɑ=lı
烏維,Abı,0.058467891,17,0.24180,2,2,SS,4,0,,ʔɑ=a  wi=bı
呼韓邪,Kaganya,0.063145538,15,0.39821,3,3,SSS,7,0,,hɑ=ka  gɑn=gan  ja=ya
烏累若鞮,Uluğ İnakt,0.073443355,13,0.27100,2,2,SS,5,0,"title element 若鞮 excluded, argued once in §9",ʔɑ=u  lui=luğ
徑路,Kıngrak,0.119640237,8,0.34589,2,2,SS,6,0,,keŋ=kıŋ  lɑ=rak
谷蠡,Körklü,0.122804345,8,0.35043,2,2,SS,6,0,,kok=körk  loi=lü
郅支,Çitçi,0.188514447,5,0.43418,2,2,SS,5,0,,tśit=çit  tśe=çi
稽粥,Kiçük,0.225659321,4,0.47504,2,2,SS,5,0,,kei=ki  tśuk=çük
頭曼,Duman,0.257154184,3,0.50710,2,2,SS,5,0,,do=du  mɑn=man
軍臣,Köngen,0.271984133,3,0.52152,2,2,SS,6,0,,kun=kön  gin=gen
冒頓,Bögü Tuğ,,,,,,,,,blocked: 頓 writing gü (zero(inventory gap)),
搜諧若鞮,Sarıg İnakt,,,,,,,,,blocked: 諧 writing rıg (zero(inventory gap)),
