chinese,reading,one_in_before,one_in_after,per_char_after,n_chars,roles,note
若鞮,İnakt,221007230,232393120,0.00007,2,SS,
且鞮侯,Çatıgka,194264,224965,0.01644,3,SSS,
屠耆,Doğru,174204,188583,0.00230,2,SS,
呴犁湖,Kalık,1439,1695,0.08386,3,SSN,
閼氏,Elti,1183,1339,0.02732,2,DN,
虛閭權渠,Kalkan,1063,1163,0.17120,4,SCSN,
烏珠留若鞮,Çal İnakt,1008,1138,0.09577,3,NSC,"title element 若鞮 excluded, argued once in §9"
服匿,Buknik,677,691,0.03802,2,SS,
骨都侯,Kutak,516,567,0.12080,3,SSN,
且渠,Çaka,511,562,0.04216,2,SS,
壺衍鞮,Kayantı,370,345,0.14255,3,SSS,
孤塗,Kutı,164,161,0.07879,2,SS,
狐鹿姑,Kurluga,142,128,0.19841,3,SSS,
復株累若鞮,Büktel İnakt,124,113,0.20639,3,SSC,"title element 若鞮 excluded, argued once in §9"
伊稚斜,İdiya,93,66,0.24684,3,SSS,
當戶,Tamga,48,46,0.14602,2,SS,
胡祿,Külüg,42,41,0.15457,2,SS,
匈奴,Hung,21,23,0.20845,2,SN,
車牙若鞮,Tunga İnakt,21,22,0.21176,2,SS,"title element 若鞮 excluded, argued once in §9"
詹師廬,Çamşılı,16,17,0.38781,3,SSS,
烏維,Abı,20,17,0.24180,2,SS,
呼韓邪,Kaganya,16,15,0.39821,3,SSS,
烏累若鞮,Uluğ İnakt,14,13,0.27100,2,SS,"title element 若鞮 excluded, argued once in §9"
徑路,Kıngrak,8,8,0.34589,2,SS,
郅支,Çitçi,5,5,0.43418,2,SS,
稽粥,Kiçük,4,4,0.47504,2,SS,
頭曼,Duman,3,3,0.50710,2,SS,
軍臣,Köngen,3,3,0.52152,2,SS,
冒頓,Bögü Tuğ,,,,,,blocked: 頓 writing gü (zero(inventory gap))
握衍朐鞮,Okyan Kutuğtı,,,,,,no rate for 鞮 writing tuğ; 朐 writing ku; 衍 writing yan
搜諧若鞮,Sarıg İnakt,,,,,,blocked: 諧 writing rıg (zero(inventory gap))
呼都而尸道皋若鞮,,,,,,,no proposal
攣鞮,El-indi,,,,,,no rate for 鞮 writing in; 攣 writing el
虛連題,Kıyalığ El-indi,,,,,,no rate for 虛 writing kı
單于,Çarvuş,,,,,,no rate for 于 writing vuş; 單 writing çar; 于 writing çar
撑犁孤塗單于,(compound of the three rows below),,,,,,compound row
撑犁,Tanglı,,,,,,no Later Han reading for 撑
谷蠡,Körklü,,,,,,no rate for 蠡 writing klü; 谷 writing kör; 蠡 writing kör
甌脫,Otuyat,,,,,,no rate for 脫 writing tu; 甌 writing o
羯,,,,,,,no proposal
