trad,simp,skt,n_chars,n_syl,n_aligned,char_syl_ratio,phon_score,align,pos,label
菩提,菩提,bodhi,2,2,2,1.0,1.0,exact,noun,ambiguous
禪頭,禅头,jantu,2,2,2,1.0,1.0,exact,noun,ambiguous
比丘,比丘,bhikṣu,2,2,2,1.0,1.0,exact,noun,ambiguous
阿羅漢,阿罗汉,arhat,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
三昧,三昧,samādhi,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
然燈佛,然灯佛,dīpaṃkara,3,4,2,0.75,1.0,off_by_one,proper noun,ambiguous
功德,功德,guṇa,2,2,2,1.0,1.0,exact,noun,ambiguous
南無,南无,namo,2,2,2,1.0,1.0,exact,verb,ambiguous
脫闍,脱阇,dhvaja,2,2,2,1.0,1.0,exact,noun,ambiguous
計都,计都,ketu,2,2,2,1.0,1.0,exact,noun,ambiguous
修單蘭,修单兰,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
畜生,畜生,tiryak,2,2,2,1.0,1.0,exact,noun,ambiguous
禪那,禅那,dhyāna,2,2,2,1.0,1.0,exact,noun,ambiguous
阿含,阿含,āgama,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
阿含,阿含,āgama,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
阿含,阿含,āgama,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
沙門,沙门,śramaṇa,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
正語,正语,samyagvāc,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
靜慮,静虑,dhyāna,2,2,2,1.0,1.0,exact,noun,ambiguous
薜荔多,薜荔多,preta,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
舍利,舍利,śarīra,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
阿難,阿难,ānanda,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
富樓那,富楼那,pūrna,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
金仙,金仙,maharṣi,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
文殊,文殊,mañjuśrī,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
尊勝,尊胜,vijayī,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
福德,福德,puṇya,2,2,2,1.0,1.0,exact,phrase,ambiguous
禪定,禅定,dhyāna,2,2,2,1.0,1.0,exact,noun,ambiguous
婆稚,婆稚,baḍin,2,2,2,1.0,1.0,exact,proper noun,ambiguous
修多羅,修多罗,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
修單羅,修单罗,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
修多闌,修多阑,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
素怛纜,素怛缆,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
蘇多羅,苏多罗,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
三學,三学,triśikṣā,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
娑羅,娑罗,śāla,2,2,2,1.0,1.0,exact,proper noun,ambiguous
常住,常住,śāśvata,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
塞建陀,塞建陀,skanda,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
善業,善业,subhūti,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
杜茶,杜茶,dhutaṅga,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
應供,应供,arhat,2,2,2,1.0,1.0,exact,proper noun,ambiguous
窣堵波,窣堵波,stūpa,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
舍衛,舍卫,śrāvastī,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
支提窟,支提窟,caitya,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
支提,支提,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
立宗,立宗,pratijñā,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
肉髻,肉髻,uṇhīsa,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
末尼,末尼,maṇi,2,2,2,1.0,1.0,exact,noun,ambiguous
摩尼,摩尼,maṇi,2,2,2,1.0,1.0,exact,noun,ambiguous
釋迦,释迦,śākya,2,2,2,1.0,1.0,exact,proper noun,ambiguous
兜率,兜率,tuṣita,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
梵王,梵王,brahmā,2,2,2,1.0,1.0,exact,proper noun,ambiguous
日天,日天,āditya,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
修利,修利,sūrya,2,2,2,1.0,1.0,exact,proper noun,ambiguous
散脂大將,散脂大将,saṃjñeya,4,3,2,1.333,1.0,off_by_one,proper noun,ambiguous
散支大將,散支大将,saṃjñeya,4,3,2,1.333,1.0,off_by_one,proper noun,ambiguous
釋氏,释氏,śākya,2,2,2,1.0,1.0,exact,proper noun,ambiguous
加沙,加沙,kaṣāya,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
闍那,阇那,jñāna,2,2,2,1.0,1.0,exact,noun,ambiguous
泥曰,泥曰,nirvāṇa,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
涅隸槃那,涅隶槃那,nirvāṇa,4,3,2,1.333,1.0,off_by_one,proper noun,ambiguous
尸羅,尸罗,śīla,2,2,2,1.0,1.0,exact,noun,ambiguous
僧伽,僧伽,saṃgha,2,2,2,1.0,1.0,exact,proper noun,ambiguous
難近母,难近母,durgā,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
突迦,突迦,durgā,2,2,2,1.0,1.0,exact,proper noun,ambiguous
蘇利耶,苏利耶,sūrya,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
跋伽,跋伽,bhārgava,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
十二處,十二处,āyatana,3,4,2,0.75,1.0,off_by_one,phrase,ambiguous
摩尼寶,摩尼宝,maṇi,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
恆迦河,恒迦河,gaṅgā,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
恆伽河,恒伽河,gaṅgā,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
殑伽河,殑伽河,gaṅgā,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
恒伽,恒伽,gaṅgā,2,2,2,1.0,1.0,exact,proper noun,ambiguous
恆河,恒河,gaṅgā,2,2,2,1.0,1.0,exact,proper noun,ambiguous
火首金刚,火首金刚,ucchuṣma,4,3,2,1.333,1.0,off_by_one,proper noun,ambiguous
洛沙,洛沙,lakṣa,2,2,2,1.0,1.0,exact,noun,ambiguous
社怛梵,社怛梵,jñatvam,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
火天,火天,agni,2,2,2,1.0,1.0,exact,proper noun,ambiguous
波暮,波暮,padma,2,2,2,1.0,1.0,exact,noun,ambiguous
商迦,商迦,Śaṅkha,2,2,2,1.0,1.0,exact,proper noun,ambiguous
商企羅,商企罗,Śaṅkha,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
償起羅,偿起罗,Śaṅkha,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
阿濕波他,阿湿波他,aśvattha,4,3,2,1.333,1.0,off_by_one,noun,ambiguous
阿耆尼,阿耆尼,agni,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
阿擬尼,阿拟尼,agni,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
閉戾多,闭戾多,preta,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
俾禮多,俾礼多,preta,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
卑利多,卑利多,preta,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
彌荔多,弥荔多,preta,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
閉多,闭多,preta,2,2,2,1.0,1.0,exact,noun,ambiguous
軍那花,军那花,kunda,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
軍那華,军那华,kunda,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
軍那,军那,kunda,2,2,2,1.0,1.0,exact,noun,ambiguous
君陀花,君陀花,kunda,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
裙那花,裙那花,kunda,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
婆利耶,婆利耶,bhāryā,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
婆梨耶,婆梨耶,bhāryā,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
婆利廋,婆利廋,bhāryā,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
俱胝,俱胝,koṭi,2,2,2,1.0,1.0,exact,noun,ambiguous
鉢頭摩,钵头摩,padma,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
鉢特摩,钵特摩,padma,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
鉢弩摩,钵弩摩,padma,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
般頭摩,般头摩,padma,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
波慕華,波慕华,padma,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
波頭摩,波头摩,padma,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
壇拏,坛拏,daṇḍa,2,2,2,1.0,1.0,exact,noun,ambiguous
母天,母天,mātṛ,2,2,2,1.0,1.0,exact,noun,ambiguous
韋紐天,韦纽天,viṣṇu,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
韋紐,韦纽,viṣṇu,2,2,2,1.0,1.0,exact,proper noun,ambiguous
韋糅,韦糅,viṣṇu,2,2,2,1.0,1.0,exact,proper noun,ambiguous
韋搜紐,韦搜纽,viṣṇu,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
韋廋紐,韦廋纽,viṣṇu,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
塞建陀,塞建陀,skandha,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
塞建陀,塞建陀,skandha,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
塞健陀,塞健陀,skandha,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
質多羅,质多罗,citrā,3,2,2,1.5,1.0,off_by_one,adjective,ambiguous
質多羅,质多罗,citrā,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
質怛羅,质怛罗,citrā,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
虛空,虚空,gagana,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
虛空,虚空,ākāśa,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
制底,制底,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
支帝,支帝,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
支徵,支征,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
支陀,支陀,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
脂帝,脂帝,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
制多,制多,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
制底耶,制底耶,caitya,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
制地,制地,caitya,2,2,2,1.0,1.0,exact,noun,ambiguous
納麼,纳么,namaḥ,2,2,2,1.0,1.0,exact,interjection,ambiguous
蘇呵,苏呵,svāhā,2,2,2,1.0,1.0,exact,interjection,ambiguous
扇多,扇多,śānta,2,2,2,1.0,1.0,exact,adjective,ambiguous
奢多,奢多,śānta,2,2,2,1.0,1.0,exact,adjective,ambiguous
十六,十六,ṣoḍaśa,2,3,2,0.667,1.0,off_by_one,number,ambiguous
影像,影像,chāyā,2,2,2,1.0,1.0,exact,noun,ambiguous
末利,末利,mallikā,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
摩利,摩利,mallikā,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
末羅,末罗,mallikā,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
瞻蔔,瞻蔔,campaka,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
瞻波,瞻波,campaka,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
占婆,占婆,campaka,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
瞻婆,瞻婆,campaka,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
龍腦,龙脑,karpūra,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
片腦,片脑,karpūra,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
莎訶,莎诃,svāhā,2,2,2,1.0,1.0,exact,interjection,ambiguous
伽陀,伽陀,gāthā,2,2,2,1.0,1.0,exact,noun,ambiguous
伽他,伽他,gāthā,2,2,2,1.0,1.0,exact,noun,ambiguous
偈佗,偈佗,gāthā,2,2,2,1.0,1.0,exact,noun,ambiguous
南麼,南么,namaḥ,2,2,2,1.0,1.0,exact,verb,ambiguous
乾陀樹,干陀树,gandha,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
乾陀,干陀,gandha,2,2,2,1.0,1.0,exact,noun,ambiguous
乾陀羅,乾陀罗,gandha,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
健陀,健陀,gandha,2,2,2,1.0,1.0,exact,noun,ambiguous
健杜,健杜,gandha,2,2,2,1.0,1.0,exact,noun,ambiguous
乾大樹,干大树,gandha,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
乾杜,干杜,gandha,2,2,2,1.0,1.0,exact,noun,ambiguous
遏伽,遏伽,khaḍga,2,2,2,1.0,1.0,exact,noun,ambiguous
係多,系多,hitā,2,2,2,1.0,1.0,exact,noun,ambiguous
陪也,陪也,bhaya,2,2,2,1.0,1.0,exact,noun,ambiguous
戰拏,战拏,caṇḍa,2,2,2,1.0,1.0,exact,adjective,ambiguous
麼訶,么诃,mahā,2,2,2,1.0,1.0,exact,adjective,ambiguous
滿陀,满陀,moṭa,2,2,2,1.0,1.0,exact,noun,ambiguous
吃麗奢,吃丽奢,kleśa,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
魯達羅,鲁达罗,rudra,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
樓陀,楼陀,rudra,2,2,2,1.0,1.0,exact,proper noun,ambiguous
祿陀羅,禄陀罗,rudra,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
微薩麼曳,微萨么曳,vismaya,4,3,2,1.333,1.0,off_by_one,adjective,ambiguous
毘薩麼曳,毘萨么曳,vismaya,4,3,2,1.333,1.0,off_by_one,adjective,ambiguous
尼揵,尼揵,nirgrantha,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
尼健,尼健,nirgrantha,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
壇怛囉,坛怛啰,tantra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
怛特羅,怛特罗,tantra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
檀特羅,檀特罗,tantra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
因達羅,因达罗,indra,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
尸棄佛,尸弃佛,Śikhin,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
寶冠,宝冠,mukuṭa,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
質多,质多,citta,2,2,2,1.0,1.0,exact,noun,ambiguous
質多耶,质多耶,citta,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
只多,只多,citta,2,2,2,1.0,1.0,exact,noun,ambiguous
指多,指多,citta,2,2,2,1.0,1.0,exact,noun,ambiguous
質帝,质帝,citta,2,2,2,1.0,1.0,exact,noun,ambiguous
戶摩,户摩,homa,2,2,2,1.0,1.0,exact,noun,ambiguous
呼麽,呼麽,homa,2,2,2,1.0,1.0,exact,noun,ambiguous
火法,火法,homa,2,2,2,1.0,1.0,exact,noun,ambiguous
制吒,制吒,ceṭa,2,2,2,1.0,1.0,exact,noun,ambiguous
制徵,制征,ceṭī,2,2,2,1.0,1.0,exact,noun,ambiguous
曩謨,曩谟,namo,2,2,2,1.0,1.0,exact,verb,ambiguous
曩莽室,曩莽室,namas,3,2,2,1.5,1.0,off_by_one,verb,ambiguous
藥乞沙,药乞沙,yakṣa,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
補瑟徵,补瑟征,puṣṭi,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
夜摩天,夜摩天,yāma,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
俱舍,俱舍,kośa,2,2,2,1.0,1.0,exact,noun,ambiguous
莎底,莎底,svāti,2,2,2,1.0,1.0,exact,proper noun,ambiguous
不空,不空,amogha,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
迦葉,迦叶,kāśyapa,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
尊那,尊那,cunda,2,2,2,1.0,1.0,exact,proper noun,ambiguous
阿羅歌,阿罗歌,arka,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
阿迦花,阿迦花,arka,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
阿迦,阿迦,arka,2,2,2,1.0,1.0,exact,noun,ambiguous
遏迦,遏迦,arka,2,2,2,1.0,1.0,exact,noun,ambiguous
遏迦花,遏迦花,arka,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
劫波,劫波,kalpa,2,2,2,1.0,1.0,exact,noun,ambiguous
孤起,孤起,gātha,2,2,2,1.0,1.0,exact,noun,ambiguous
孤起頌,孤起颂,gātha,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
悉檀,悉檀,siddhānta,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
救度者,救度者,tāyin,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
惛沈,惛沈,styāna,2,2,2,1.0,1.0,exact,noun,ambiguous
有漏,有漏,āsrava,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
世人,世人,jana,2,2,2,1.0,1.0,exact,noun,ambiguous
馱衍那,驮衍那,dhyāna,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
持阿那,持阿那,dhyāna,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
本物,本物,bimba,2,2,2,1.0,1.0,exact,noun,ambiguous
無畏,无畏,abhaya,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
諸人,诸人,jana,2,2,2,1.0,1.0,exact,phrase,ambiguous
也他,也他,yathā,2,2,2,1.0,1.0,exact,adverb,ambiguous
燃燈佛,燃灯佛,dīpaṃkara,3,4,2,0.75,1.0,off_by_one,proper noun,ambiguous
迦羅,迦罗,kāla,2,2,2,1.0,1.0,exact,noun,ambiguous
迦羅,迦罗,kāla,2,2,2,1.0,1.0,exact,noun,ambiguous
悉達,悉达,siddhārtha,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
弗星,弗星,puṣya,2,2,2,1.0,1.0,exact,proper noun,ambiguous
沸星,沸星,puṣya,2,2,2,1.0,1.0,exact,proper noun,ambiguous
佛星,佛星,puṣya,2,2,2,1.0,1.0,exact,proper noun,ambiguous
揭帝,揭帝,gate,2,2,2,1.0,1.0,exact,foreign,ambiguous
僧莎訶,僧莎诃,svāhā,3,2,2,1.5,1.0,off_by_one,foreign,ambiguous
依止,依止,āśraya,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
菴弭羅,菴弭罗,āmla,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
羯磨,羯磨,karma,2,2,2,1.0,1.0,exact,noun,ambiguous
藥草,药草,oṣadhi,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
二十六,二十六,ṣaḍviṃśati,3,4,2,0.75,1.0,off_by_one,number,ambiguous
第三,第三,tṛtīya,2,3,2,0.667,1.0,off_by_one,ordinal,ambiguous
第八,第八,aṣṭama,2,3,2,0.667,1.0,off_by_one,ordinal,ambiguous
第十,第十,daśama,2,3,2,0.667,1.0,off_by_one,ordinal,ambiguous
修妬路,修妬路,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
素怛覽,素怛览,sūtra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
菴沒羅,菴没罗,āmra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
菴摩羅,菴摩罗,āmra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
菴摩勒,菴摩勒,āmra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
師子音,师子音,siṃhaghoṣa,3,4,2,0.75,1.0,off_by_one,proper noun,ambiguous
菴末羅,菴末罗,āmra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
三摩,三摩,samādhi,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
那羅,那罗,nara,2,2,2,1.0,1.0,exact,noun,ambiguous
那羅,那罗,naṭa,2,2,2,1.0,1.0,exact,noun,ambiguous
摩納,摩纳,māṇava,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
先泥,先泥,śreṇika,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
諦聽,谛听,śṛṇotha,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
自悟,自悟,sva-buddha,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
除斷,除断,chedana,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
悔過,悔过,kaukṛtya,2,3,2,0.667,1.0,off_by_one,phrase,ambiguous
多羅樹,多罗树,tāla,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
爍迦羅,烁迦罗,cakra,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
艱難,艰难,kṛcchra,2,2,2,1.0,1.0,exact,noun,ambiguous
安住,安住,sthiti,2,2,2,1.0,1.0,exact,phrase,ambiguous
比多,比多,pitṛ,2,2,2,1.0,1.0,exact,noun,ambiguous
薩鉢多,萨钵多,sapta,3,2,2,1.5,1.0,off_by_one,foreign,ambiguous
時乞縛,时乞缚,jihva,3,2,2,1.5,1.0,off_by_one,noun,ambiguous
舍利,舍利,śārī,2,2,2,1.0,1.0,exact,noun,ambiguous
攝藍,摄蓝,śarīra,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
娑羅樹,娑罗树,śāla,3,2,2,1.5,1.0,off_by_one,proper noun,ambiguous
打擲,打掷,tāḍita,2,3,2,0.667,1.0,off_by_one,verb,ambiguous
衛闍,卫阇,vidyā,2,2,2,1.0,1.0,exact,noun,ambiguous
積集,积集,saṃcaya,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
居家,居家,gṛhastha,2,3,2,0.667,1.0,off_by_one,noun,ambiguous
迦葉,迦叶,kāśyapa,2,3,2,0.667,1.0,off_by_one,proper noun,ambiguous
了義,了义,nītārtha,2,3,2,0.667,1.0,off_by_one,adjective,ambiguous
