trad,simp,skt,n_chars,n_syl,n_aligned,char_syl_ratio,phon_score,align,pos,label
乞食,乞食,paiṇḍapātika,2,5,0,0.4,0.0,length_mismatch,phrase,calque
七寶,七宝,saptaratna,2,4,0,0.5,0.0,length_mismatch,phrase,calque
袈裟,袈裟,kaṣāya,2,3,2,0.667,0.0,off_by_one,noun,calque
出家,出家,pravrajita,2,4,0,0.5,0.0,length_mismatch,verb,calque
無量,无量,aparimāṇa,2,5,0,0.4,0.0,length_mismatch,adjective,calque
藥師佛,药师佛,bhaiṣajyaguru,3,5,0,0.6,0.0,length_mismatch,proper noun,calque
佛經,佛经,sūtra,2,2,2,1.0,0.0,exact,noun,calque
無我,无我,anātman,2,3,2,0.667,0.0,off_by_one,noun,calque
佛法,佛法,buddhadharma,2,4,0,0.5,0.0,length_mismatch,proper noun,calque
菩薩,菩萨,bodhisattva,2,4,0,0.5,0.0,length_mismatch,noun,calque
經,经,sūtra,1,2,1,0.5,0.0,off_by_one,noun,calque
修行,修行,pratipatti,2,4,0,0.5,0.0,length_mismatch,noun,calque
藏,藏,piṭaka,1,3,0,0.333,0.0,length_mismatch,noun,calque
五智如來,五智如来,pañcatathāgata,4,6,0,0.667,0.0,length_mismatch,proper noun,calque
魔,魔,māra,1,2,1,0.5,0.0,off_by_one,proper noun,calque
法緣,法缘,dharmarambana,2,5,0,0.4,0.0,length_mismatch,phrase,calque
梵,梵,brahman,1,2,1,0.5,1.0,off_by_one,proper noun,calque
眾生,众生,sattva,2,2,2,1.0,0.5,exact,noun,calque
聖,圣,ārya,1,2,1,0.5,1.0,off_by_one,adjective,calque
禪,禅,dhyāna,1,2,1,0.5,1.0,off_by_one,noun,calque
僧,僧,saṃgha,1,2,1,0.5,1.0,off_by_one,proper noun,calque
五陰,五阴,pañcaskandha,2,4,0,0.5,0.0,length_mismatch,phrase,calque
塔,塔,stūpa,1,2,1,0.5,1.0,off_by_one,noun,calque
法會,法会,dharma-saṃgīti,2,5,0,0.4,0.0,length_mismatch,noun,calque
法,法,dharma,1,2,1,0.5,1.0,off_by_one,proper noun,calque
法,法,dhárma,1,1,1,1.0,1.0,exact,noun,calque
法,法,dhárma,1,1,1,1.0,1.0,exact,noun,calque
法,法,dhárma,1,1,1,1.0,1.0,exact,noun,calque
