trad,simp,skt,n_chars,n_syl,n_aligned,char_syl_ratio,phon_score,align,pos,label
阿跋摩羅,阿跋摩罗,apasmāra,4,4,4,1.0,1.0,exact,noun,transcription
釋迦牟尼,释迦牟尼,śākyamuni,4,4,4,1.0,1.0,exact,proper noun,transcription
阿彌陀佛,阿弥陀佛,amitābha,4,4,4,1.0,1.0,exact,proper noun,transcription
菩提心,菩提心,bodhicitta,3,4,3,0.75,1.0,off_by_one,noun,transcription
阿耨多羅三藐三菩提,阿耨多罗三藐三菩提,anuttarasamyaksaṃbodhi,9,9,9,1.0,1.0,exact,noun,transcription
須菩提,须菩提,subhūti,3,3,3,1.0,1.0,exact,proper noun,transcription
陀阿伽陀,陀阿伽陀,tathāgata,4,4,4,1.0,1.0,exact,proper noun,transcription
多他阿伽度,多他阿伽度,tathāgata,5,4,4,1.25,1.0,off_by_one,proper noun,transcription
多陀阿伽度,多陀阿伽度,tathāgata,5,4,4,1.25,1.0,off_by_one,proper noun,transcription
怛他誐多,怛他誐多,tathāgata,4,4,4,1.0,1.0,exact,proper noun,transcription
多阿竭,多阿竭,tathāgata,3,4,3,0.75,1.0,off_by_one,proper noun,transcription
阿修羅,阿修罗,asura,3,3,3,1.0,1.0,exact,noun,transcription
波羅蜜,波罗蜜,pāramitā,3,4,3,0.75,1.0,off_by_one,noun,transcription
阿僧祗,阿僧祗,asaṃkhyeya,3,4,3,0.75,1.0,off_by_one,number,transcription
比丘尼,比丘尼,bhikṣuṇī,3,3,3,1.0,1.0,exact,noun,transcription
剌瑟胝,剌瑟胝,lakṣatā,3,3,3,1.0,1.0,exact,noun,transcription
舍衛大城,舍卫大城,śrāvastī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
摩訶薩,摩诃萨,mahāsattva,3,4,3,0.75,1.0,off_by_one,noun,transcription
三昧地,三昧地,samādhi,3,3,3,1.0,1.0,exact,noun,transcription
菩提達磨,菩提达磨,bodhidharma,4,4,4,1.0,1.0,exact,proper noun,transcription
舍利弗,舍利弗,śāriputra,3,4,3,0.75,1.0,off_by_one,proper noun,transcription
阿難陀,阿难陀,ānanda,3,3,3,1.0,1.0,exact,proper noun,transcription
修伽陀,修伽陀,sugata,3,3,3,1.0,1.0,exact,phrase,transcription
陀羅尼,陀罗尼,dhāraṇī,3,3,3,1.0,1.0,exact,noun,transcription
蘇揭多,苏揭多,sugata,3,3,3,1.0,1.0,exact,phrase,transcription
修伽多,修伽多,sugata,3,3,3,1.0,1.0,exact,phrase,transcription
迦葉佛,迦叶佛,kāśyapa,3,3,3,1.0,1.0,exact,proper noun,transcription
阿毘達摩,阿毘达摩,abhidharma,4,4,4,1.0,1.0,exact,proper noun,transcription
阿底瑜伽,阿底瑜伽,atiyoga,4,4,4,1.0,1.0,exact,noun,transcription
瞿波羅,瞿波罗,gopalā,3,3,3,1.0,1.0,exact,proper noun,transcription
菩提薩埵,菩提萨埵,bodhisattva,4,4,4,1.0,1.0,exact,proper noun,transcription
優婆塞,优婆塞,upāsaka,3,4,3,0.75,1.0,off_by_one,noun,transcription
僧伽黎,僧伽黎,saṃghāṭī,3,3,3,1.0,1.0,exact,noun,transcription
僧伽胝,僧伽胝,saṃghāṭī,3,3,3,1.0,1.0,exact,noun,transcription
鬱多羅僧,郁多罗僧,uttarāsaṃga,4,5,4,0.8,1.0,off_by_one,noun,transcription
那羅延,那罗延,nārāyaṇa,3,4,3,0.75,1.0,off_by_one,proper noun,transcription
僧伽藍摩,僧伽蓝摩,saṃghārāma,4,4,4,1.0,1.0,exact,proper noun,transcription
隙棄羅,隙弃罗,khakkhara,3,3,3,1.0,1.0,exact,noun,transcription
喫棄羅,喫弃罗,khakkhara,3,3,3,1.0,1.0,exact,noun,transcription
富單那鬼,富单那鬼,pūtana,4,3,3,1.333,1.0,off_by_one,noun,transcription
富單那,富单那,pūtana,3,3,3,1.0,1.0,exact,noun,transcription
布怛那,布怛那,pūtana,3,3,3,1.0,1.0,exact,noun,transcription
富多那鬼,富多那鬼,pūtana,4,3,3,1.333,1.0,off_by_one,noun,transcription
富多那,富多那,pūtana,3,3,3,1.0,1.0,exact,noun,transcription
布怛那鬼,布怛那鬼,pūtana,4,3,3,1.333,1.0,off_by_one,noun,transcription
密特那,密特那,mithuna,3,3,3,1.0,1.0,exact,proper noun,transcription
迦樓羅鳥,迦楼罗鸟,garuḍa,4,3,3,1.333,1.0,off_by_one,noun,transcription
迦樓羅,迦楼罗,garuḍa,3,3,3,1.0,1.0,exact,noun,transcription
加樓羅,加楼罗,garuḍa,3,3,3,1.0,1.0,exact,noun,transcription
迦留羅,迦留罗,garuḍa,3,3,3,1.0,1.0,exact,noun,transcription
伽婁羅,伽娄罗,garuḍa,3,3,3,1.0,1.0,exact,noun,transcription
迦婁羅,迦娄罗,garuḍa,3,3,3,1.0,1.0,exact,noun,transcription
伽樓羅,伽楼罗,garuḍa,3,3,3,1.0,1.0,exact,noun,transcription
摩睺羅迦,摩喉罗迦,mahorāga,4,4,4,1.0,1.0,exact,noun,transcription
莫呼勒伽,莫呼勒伽,mahorāga,4,4,4,1.0,1.0,exact,noun,transcription
摩休洛,摩休洛,mahorāga,3,4,3,0.75,1.0,off_by_one,noun,transcription
緊那羅,紧那罗,kiṃnara,3,3,3,1.0,1.0,exact,noun,transcription
緊拏羅,紧拏罗,kiṃnara,3,3,3,1.0,1.0,exact,noun,transcription
緊擔路,紧担路,kiṃnara,3,3,3,1.0,1.0,exact,noun,transcription
緊陀羅,紧陀罗,kiṃnara,3,3,3,1.0,1.0,exact,noun,transcription
摩揭陀國,摩揭陀国,magadha,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
兜率天,兜率天,tuṣita,3,3,3,1.0,1.0,exact,proper noun,transcription
都率天,都率天,tuṣita,3,3,3,1.0,1.0,exact,proper noun,transcription
摩訶迦羅,摩诃迦罗,mahākāla,4,4,4,1.0,1.0,exact,proper noun,transcription
莫訶哥羅,莫诃哥罗,mahākāla,4,4,4,1.0,1.0,exact,proper noun,transcription
奢摩他,奢摩他,śamatha,3,3,3,1.0,1.0,exact,noun,transcription
阿那含,阿那含,anāgāmin,3,4,3,0.75,1.0,off_by_one,proper noun,transcription
阿那伽彌,阿那伽弥,anāgāmin,4,4,4,1.0,1.0,exact,proper noun,transcription
阿那伽迷,阿那伽迷,anāgāmin,4,4,4,1.0,1.0,exact,proper noun,transcription
窣路陀阿鉢囊,窣路陀阿钵囊,srotaāpanna,6,5,5,1.2,1.0,off_by_one,proper noun,transcription
窣路多阿半那,窣路多阿半那,srotaāpanna,6,5,5,1.2,1.0,off_by_one,proper noun,transcription
摩利支天,摩利支天,marīcī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
摩里支天,摩里支天,marīcī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
阿泥底耶,阿泥底耶,āditya,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
日天子,日天子,āditya,3,3,3,1.0,1.0,exact,proper noun,transcription
摩梨支,摩梨支,marīcī,3,3,3,1.0,1.0,exact,proper noun,transcription
摩里支,摩里支,marīcī,3,3,3,1.0,1.0,exact,proper noun,transcription
末利支,末利支,marīcī,3,3,3,1.0,1.0,exact,proper noun,transcription
末利支天,末利支天,marīcī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
帝殊羅施,帝殊罗施,tejorāśi,4,4,4,1.0,1.0,exact,proper noun,transcription
訶利帝母,诃利帝母,hārītī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
毘俱知,毘俱知,bhrūkuti,3,3,3,1.0,1.0,exact,proper noun,transcription
商迦羅,商迦罗,śṛṅkhalā,3,3,3,1.0,1.0,exact,noun,transcription
訶梨帝,诃梨帝,hārītī,3,3,3,1.0,1.0,exact,proper noun,transcription
訶利帝喃,诃利帝喃,hārītī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
阿迦尼瑟吒,阿迦尼瑟吒,akaniṣṭha,5,4,4,1.25,1.0,off_by_one,proper noun,transcription
雨眾外道,雨众外道,varṣagaṇa,4,4,4,1.0,1.0,exact,proper noun,transcription
耶輸陀羅,耶输陀罗,yasodharā,4,4,4,1.0,1.0,exact,proper noun,transcription
羅睺羅,罗睺罗,rāhula,3,3,3,1.0,1.0,exact,proper noun,transcription
薩羅酸底,萨罗酸底,sarasvatī,4,4,4,1.0,1.0,exact,proper noun,transcription
