char,later_han,old_chinese,lh_onset,oc_onset,lh_coda,oc_coda,differs_in
頭,do,[m-t]ˤo,dental,dental,open,open,same
曼,mɑn,mˤa[n]-s,labial,labial,dental nasal,dental nasal,same
冒,mək,mˤuk-s,labial,labial,velar stop,velar stop,same
稽,kʰei,kˤij,velar,velar,open,open,same
粥,tśuk,t-quk,palatal,velar,velar stop,velar stop,onset
軍,kun,[k]ʷər,velar,velar,dental nasal,liquid,coda
臣,dźin,[g]i[ŋ],palatal,velar,dental nasal,velar nasal,onset and coda
伊,ʔi,ʔij,glottal,glottal,open,open,same
稚,ḍi,lrəj-s,dental,liquid,open,open,onset
烏,ʔɑ,[ʔ]ˤa,glottal,glottal,open,open,same
維,wi,ɢʷij,glide,velar,open,open,onset
詹,tśam,[t]am,palatal,dental,labial nasal,labial nasal,onset
師,ṣi,srij,dental,dental,open,open,same
廬,liɑ,[r]a,liquid,liquid,open,open,same
犁,lei,[r]ˤ[i]j,liquid,liquid,open,open,same
湖,gɑ,[g]ˤa,velar,velar,open,open,same
且,tsɑ,tsa,dental,dental,open,open,same
侯,go,[g]ˤ(r)o,velar,velar,open,open,same
狐,ɣuɑ,[g]ʷˤa,velar,velar,open,open,same
鹿,lok,mə-rˤok,liquid,liquid,velar stop,velar stop,same
姑,kɑ,kˤa,velar,velar,open,open,same
壺,gɑ,[g](ʷ)ˤa,velar,velar,open,open,same
衍,jan,N-q(r)anʔ,palatal,velar,dental nasal,dental nasal,onset
權,gyan,[g]ʷrar,velar,velar,dental nasal,liquid,coda
渠,gɨɑ,[g](r)a,velar,velar,open,open,same
呼,hɑ,qʰˤa,velar,velar,open,open,same
韓,gɑn,[g]ˤar,velar,velar,dental nasal,liquid,coda
邪,ja,sə.ɢA,palatal,velar,open,open,onset
支,tśe,ke,palatal,velar,open,open,onset
若,ńɑk,nak,palatal,dental,velar stop,velar stop,onset
復,buk,[N]-pruk-s,labial,labial,velar stop,velar stop,same
株,ṭio,tro,dental,dental,open,open,same
累,lui,[r]oj,liquid,liquid,open,open,same
搜,so,sru,dental,dental,open,open,same
車,tśʰa,[t.qʰ](r)A,palatal,velar,open,open,onset
牙,ŋa,m-ɢˤ<r>a,velar,velar,open,open,same
留,liu,C.ru,liquid,liquid,open,open,same
都,tɑ,tˤa,dental,dental,open,open,same
而,ńə,nə,palatal,dental,open,open,onset
尸,śi,l̥[ə]j,palatal,liquid,open,open,onset
道,dou,lˤuʔ-s,dental,liquid,open,open,onset
皋,kou,[k]ˤu,velar,velar,open,open,same
連,lian,[r]a[n],liquid,liquid,dental nasal,dental nasal,same
單,dźan,dar,palatal,dental,dental nasal,liquid,onset and coda
于,wɑ,ɢʷ(r)a,glide,velar,open,open,onset
孤,kuɑ,kʷˤa,velar,velar,open,open,same
塗,dɑ,lˤa,dental,liquid,open,open,onset
閼,ʔɑt,qˤat,glottal,velar,dental stop,dental stop,onset
氏,dźe,k.deʔ,palatal,dental,open,open,onset
屠,dɑ,[d]ˤa,dental,dental,open,open,same
耆,gɨ,[g]rij,velar,velar,open,open,same
谷,kok,C.qˤok,velar,velar,velar stop,velar stop,same
當,tɑŋ,tˤaŋ,dental,dental,velar nasal,velar nasal,same
骨,kuət,kˤut,velar,velar,dental stop,dental stop,same
徑,keŋ,[k]ˤeŋ-s,velar,velar,velar nasal,velar nasal,same
路,lɑ,Cə.rˤak-s,liquid,liquid,open,velar stop,coda
服,buk,[b]ək,labial,labial,velar stop,velar stop,same
匿,ṇɨk,nr[ə]k,dental,dental,velar stop,velar stop,same
胡,gɔ,[g]ˤa,velar,velar,open,open,same
奴,nɑ,nˤa,dental,dental,open,open,same
