item,character,reading_used,n_readings,position_used,alternatives
頭曼,頭,do,1,1,
頭曼,曼,mɑnᶜ,3,1,mɑn | muɑnᶜ
冒頓,冒,mək,2,1,mouᶜ
冒頓,頓,tuənᶜ,2,1,tuət
稽粥,稽,kʰeiᴮ,2,1,kei
稽粥,粥,tśuk,1,1,
軍臣,軍,kun,1,1,
軍臣,臣,dźin,2,1,gin
伊稚斜,伊,ʔi,1,1,
伊稚斜,稚,ḍiᶜ,1,1,
伊稚斜,斜,ja,1,1,
烏維,烏,ʔɑ,1,1,
烏維,維,wi,1,1,
詹師廬,詹,tśam,1,1,
詹師廬,師,ṣi,1,1,
詹師廬,廬,liɑ,1,1,
呴犁湖,呴,huo,2,1,huoᶜ
呴犁湖,犁,lei,2,1,li
呴犁湖,湖,gɑ,1,1,
且鞮侯,且,tsɑᴮ,4,1,tsʰiaᴮ | tsʰiɑ | tsiɑ
且鞮侯,鞮,te,2,1,de
且鞮侯,侯,go,1,1,
狐鹿姑,狐,ɣuɑ,1,1,
狐鹿姑,鹿,lok,1,1,
狐鹿姑,姑,kɑ,1,1,
壺衍鞮,壺,gɑ,1,1,
壺衍鞮,衍,janᴮ,2,1,janᶜ
壺衍鞮,鞮,te,2,1,de
虛閭權渠,虛,kʰɨɑ,0,,
虛閭權渠,閭,liɑ,1,1,
虛閭權渠,權,gyan,1,1,
虛閭權渠,渠,gɨɑ,1,1,
握衍朐鞮,握,ʔɔk,1,1,
握衍朐鞮,衍,janᴮ,2,1,janᶜ
握衍朐鞮,朐,guo,1,1,
握衍朐鞮,鞮,te,2,1,de
呼韓邪,呼,hɑ,2,1,hɑᶜ
呼韓邪,韓,gɑn,1,1,
呼韓邪,邪,ja,3,1,ziɑ | zia
郅支,郅,tśit,1,1,
郅支,支,tśe,2,1,kie
若鞮,若,ńɑk,1,1,
若鞮,鞮,te,2,1,de
復株累若鞮,復,buk,2,1,buᶜ
復株累若鞮,株,ṭio,1,1,
復株累若鞮,累,lui,4,1,lyaiᴮ | lyaiᶜ | luɑiᴮ
復株累若鞮,若,ńɑk,1,1,
復株累若鞮,鞮,te,2,1,de
搜諧若鞮,搜,so,2,1,ṣu
搜諧若鞮,諧,gɛi,1,1,
搜諧若鞮,若,ńɑk,1,1,
搜諧若鞮,鞮,te,2,1,de
車牙若鞮,車,tśʰa,2,1,kɨɑ
車牙若鞮,牙,ŋa,1,1,
車牙若鞮,若,ńɑk,1,1,
車牙若鞮,鞮,te,2,1,de
烏珠留若鞮,烏,ʔɑ,1,1,
烏珠留若鞮,珠,tśo,1,1,
烏珠留若鞮,留,liu,1,1,
烏珠留若鞮,若,ńɑk,1,1,
烏珠留若鞮,鞮,te,2,1,de
烏累若鞮,烏,ʔɑ,1,1,
烏累若鞮,累,lui,4,1,lyaiᴮ | lyaiᶜ | luɑiᴮ
烏累若鞮,若,ńɑk,1,1,
烏累若鞮,鞮,te,2,1,de
呼都而尸道皋若鞮,呼,hɑ,2,1,hɑᶜ
呼都而尸道皋若鞮,都,tɑ,1,1,
呼都而尸道皋若鞮,而,ńə,2,1,ńɨ
呼都而尸道皋若鞮,尸,śi,1,1,
呼都而尸道皋若鞮,道,douᴮ,2,1,douᶜ
呼都而尸道皋若鞮,皋,kou,1,1,
呼都而尸道皋若鞮,若,ńɑk,1,1,
呼都而尸道皋若鞮,鞮,te,2,1,de
攣鞮,攣,lyan,1,1,
攣鞮,鞮,te,2,1,de
虛連題,虛,kʰɨɑ,0,,
虛連題,連,lianᴮ,2,1,lian
虛連題,題,de,2,1,deᶜ
單于,單,dźan,2,1,tɑn
單于,于,wɑ,1,1,
撑犁孤塗單于,撑,ḍaŋ,0,,
撑犁孤塗單于,犁,lei,2,1,li
撑犁孤塗單于,孤,kuɑ,1,1,
撑犁孤塗單于,塗,dɑ,1,1,
撑犁孤塗單于,單,dźan,2,1,tɑn
撑犁孤塗單于,于,wɑ,1,1,
撑犁,撑,ḍaŋ,0,,
撑犁,犁,lei,2,1,li
孤塗,孤,kuɑ,1,1,
孤塗,塗,dɑ,1,1,
閼氏,閼,ʔɑt,1,1,
閼氏,氏,dźeᴮ,4,1,gieᴮ | tśe | kie
屠耆,屠,dɑ,1,1,
屠耆,耆,gɨ,3,1,tśiᴮ | kiᴮ
谷蠡,谷,kok,3,1,jok | lok
谷蠡,蠡,leᴮ,2,1,loiᴮ
當戶,當,tɑŋ,2,1,tɑŋᶜ
當戶,戶,gɑᴮ,0,,
骨都侯,骨,kuət,1,1,
骨都侯,都,tɑ,1,1,
骨都侯,侯,go,1,1,
且渠,且,tsɑᴮ,4,1,tsʰiaᴮ | tsʰiɑ | tsiɑ
且渠,渠,gɨɑ,1,1,
徑路,徑,keŋᶜ,1,1,
徑路,路,lɑᶜ,1,1,
服匿,服,buk,2,1,buᴮ
服匿,匿,ṇɨk,1,1,
甌脫,甌,ʔo,1,1,
甌脫,脫,tʰuɑt,0,,
胡祿,胡,gɔ,2,1,gɑ
胡祿,祿,lok,0,,
匈奴,匈,huoŋ,1,1,
匈奴,奴,nɑ,1,1,
羯,羯,kɨat,1,1,
