model,corpus,hyp,minv,n,accuracy,chance,winner
n-gram,true Uyghur,all 5 families,1,182,0.3297,0.2,Turkic
n-gram,true Uyghur,all 5 families,2,161,0.3292,0.2,Turkic
n-gram,true Uyghur,all 5 families,3,95,0.2947,0.2,Turkic
n-gram,true Uyghur,all 5 families,4,58,0.3276,0.2,Turkic
n-gram,true Uyghur,Turkic vs Yeniseian,1,182,0.6044,0.5,Turkic
n-gram,true Uyghur,Turkic vs Yeniseian,2,161,0.5963,0.5,Turkic
n-gram,true Uyghur,Turkic vs Yeniseian,3,95,0.5895,0.5,Turkic
n-gram,true Uyghur,Turkic vs Yeniseian,4,58,0.6379,0.5,Turkic
n-gram,true Sanskrit,all 5 families,1,398,0.4648,0.2,Indic
n-gram,true Sanskrit,all 5 families,2,330,0.4364,0.2,Indic
n-gram,true Sanskrit,all 5 families,3,328,0.4329,0.2,Indic
n-gram,true Sanskrit,all 5 families,4,166,0.3675,0.2,Indic
features,true Uyghur,all 5 families,1,182,0.3022,0.2,Turkic
features,true Uyghur,all 5 families,2,161,0.3043,0.2,Turkic
features,true Uyghur,all 5 families,3,95,0.2737,0.2,Turkic
features,true Uyghur,all 5 families,4,58,0.3621,0.2,Turkic
features,true Uyghur,Turkic vs Yeniseian,1,182,0.5769,0.5,Turkic
features,true Uyghur,Turkic vs Yeniseian,2,161,0.5901,0.5,Turkic
features,true Uyghur,Turkic vs Yeniseian,3,95,0.5368,0.5,Turkic
features,true Uyghur,Turkic vs Yeniseian,4,58,0.6897,0.5,Turkic
features,true Sanskrit,all 5 families,1,398,0.2111,0.2,Mongolic
features,true Sanskrit,all 5 families,2,330,0.1394,0.2,Mongolic
features,true Sanskrit,all 5 families,3,328,0.1372,0.2,Mongolic
features,true Sanskrit,all 5 families,4,166,0.2048,0.2,Iranian
