pdf_page,matched,pinyin,k_number,emc_guess,block
28,\bjie\b,,,kia which,"The graph , now pronounced jia, is found almost exclusively in | Buddhist transcriptions where it represents the Indian (Sanskrit or Prakrit) | syllables ka or ks. In the Guangyun it has the reading E. kia which | according to the expected regular development ought to give Mandarin jie. | Compare qii 'eggplant' from E. gia. It is very likely that the modern | reading jia is analogical, based on the phonetic component, jia JW. The"
28,\bjie\b,,,,"character for Indian kha or khd, read E. khia in the Guangyun, which is | now pronounced qu instead of the expected qie, evidently by analogy with | qu . It would, of course, be highly artificial to insist on reading . and | i& as jie and qie. | A reverse situation arises when modern scholars invent readings with | little or no ancient authority in order to fit a theory. Thus it has recently"
57,xiongnu,chan,K204c,cfeian,"K204c entwine, wrap around, wind around. Also | E. drianh, L. trfiian"", Y. t§ens cord | chan 30:9 M03993B Y. [ts^n-l L. sfiian E. cfeian | K147a chanyu Xiongnu ruler's title. See | also dan, shan | chan 157:15 M37970 Y. tghen' L. trfiian E. drian"
78,xiongnu,dai,K315a,tajh,"dai 50:8 M08950 Y. tajv L. tajv E. tajh | K315a belt, girdle | dai 157:11 M37808A Y. taf L. tajv E. tajh | dailfn j?f $• Xiongnu place name. See | also zhi | dai i60:6 M10083 Y. tajv L. tfiajv"
111,\bjie\b,gai,K327j,kaijh(s)/keijh,"approximately; for, it is because, in fact. | See also he, g£ | gai 140:4 M307155 Y. kjajv L. kja:jv E. kaijh(s)/keijh | K327j mustard; also jie | gan 5:10 M00204B Y. kan L. kan E. kan | Kl40c dry. See also qi£n"
114,\bjie\b,ge,K855f,ksijk/key'k,"cabinet | ge 170:10 M41783 Y. kjaj L. kjayk E. ksijk/key'k | K855f separate, partition; at a distance from; also | jie | ge 177:0 M42710A Y. kjaj"" L. kjayk E. ksijk/key'k | K931a animal hide, leather, change. See also ji"
120,\bhu\b,gu,,kawk,159:10 M38479 Y. ku^ L. kawk E. kawk | K1226J wheel hub | gu 196:7 M46961B Y. [W] L. kowk E. kawk | Kl039n centre of a target. See also hu | gfi | 85:4 M17153A Y. [ku^] L. kut E. kwat
121,\bhu\b,gu,K49e,koh,"gu 167:8 M40578 Y. kiT L. ku5v E. koh | K49e' obstruct, prevent, stop | gu 172:4 M41976B Y. kuv L. ku3x E. koh | K53d hire. See also hu | gu 181:12 M43689 Y. kuv L. ku5v E. koh | K53g look back over one's shoulder; on the"
131,\bhu\b,he,K937a,yaijk/yeijk,"K766H raccoon dog, Nyctereutes procyonoides, | also hao. See also mo, ma | he 75:6 M14743a Y. [xjaj'] L. xfijaijk E. yaijk/yeijk | K937a' pit (of a fruit), kernel, stone; also hu | he 124:10 M28776 Y. [xjaj'] L. xfijaijk E. ysijk/yEijk | K855g stalk or spine of a feather"
135,\bhu\b,hou,K55h,ygwh,"relaxed | hou 195:13 M46528 Y. [x3wx] L. xfiswv E. ygwh | king crab, Limulus longispinus | hu 30:5 M03471 Y. xu L. xus E. xo | K55h shout, call | hu 61:12 M11259B Y. [xu] L. xua E. xo"
135,\bhu\b,hu,K55h,xo,"king crab, Limulus longispinus | hu 30:5 M03471 Y. xu L. xus E. xo | K55h shout, call | hu 61:12 M11259B Y. [xu] L. xua E. xo | K103J startled, flustered (Jiyuri). See also wu | hu 62:13 M11681B Y. [xu] L. xuS E. xo"
135,\bhu\b,hu,K55h,xo,"K55h shout, call | hu 61:12 M11259B Y. [xu] L. xua E. xo | K103J startled, flustered (Jiyuri). See also wu | hu 62:13 M11681B Y. [xu] L. xuS E. xo | K22b call, same as , . See also xi | hu 130:12 M29895A Y. [xu] L. xua E. xo"
135,\bhu\b,hu,K22b,xo,"K103J startled, flustered (Jiyuri). See also wu | hu 62:13 M11681B Y. [xu] L. xuS E. xo | K22b call, same as , . See also xi | hu 130:12 M29895A Y. [xu] L. xua E. xo | Kl03o large slice of dried meat. See also wu | hu 149:11 M35905 Y. [xu] L. x u S E. xo"
135,\bhu\b,hu,K22b,xo,"K22b call, same as , . See also xi | hu 130:12 M29895A Y. [xu] L. xua E. xo | Kl03o large slice of dried meat. See also wu | hu 149:11 M35905 Y. [xu] L. x u S E. xo | call, shout, same as . . Also E. xoh | hu 141:5 M32698 Y. [xu'] L. xfiuo E. yo"
