source_doc,gloss_zh,chinese,mongolian,n_chars,n_syl
c0_yin_yi_meng_wen_yuan_chao_mi_shi.xhtml,狗名,合撒兒,qasar,3,2
c0_yin_yi_meng_wen_yuan_chao_mi_shi.xhtml,狗,那孩,noγai,2,2
c0_yin_yi_meng_wen_yuan_chao_mi_shi.xhtml,上,迭額列,deġere,3,3
c0_yin_yi_meng_wen_yuan_chao_mi_shi.xhtml,天,騰格理,teṅgeri,3,3
c0_yin_yi_meng_wen_yuan_chao_mi_shi.xhtml,營盤做着,嫩禿黑剌周,nutuγlažu,5,4
c0_yin_yi_meng_wen_yuan_chao_mi_shi.xhtml,子自的行,可兀的顏,köġüd-yen,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,忽難,Γunan,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,等項,帖里兀田,teriġüten,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,種名,格你格思,Geniges,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,一,你刊,nigen,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,圈子,古列延,kürejen,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,來了也,亦列罷古,irebe-kü,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,再,巴撒,Basa,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,荅里台斡赤斤,Daritai-Ödčigin,6,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,種名處,札荅剌納察,Žadaran-ača,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,木勒合勒忽,Mulqalqu,5,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,溫眞,Unžin,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,種名,撒合亦惕,Saqaid,4,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,圈子,古列延,küreġen,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名處,札木合荅察,Žamuqa-dāča,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,那些,帖堆,tedüi,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,分離着,合合孱,qaγačan,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,動了,歌多魯耶惕,ködölüġed,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,河名,乞沐兒合,Kimurqa,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,小河的,豁羅合訥,γoroqan-u,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,地名,阿亦勒,Ali-,3,2
