efeo_syllable,turkic_segments,p
a,a,0.75
a,e,0.0833
a,gaq,0.0556
a,â,0.0556
a,erk,0.0278
a,nga,0.0278
ang,r,0.5766
ang,a,0.1971
ang,n,0.0219
ang,e,0.0219
ang,gaq,0.0146
ang,ort,0.0146
cha,qSa,0.2
cha,sa,0.2
cha,sap,0.2
cha,ose,0.2
cha,kaq,0.2
chc,s,0.325
chc,si,0.1125
chc,S,0.075
chc,i,0.05
chc,ë,0.0375
chc,cor,0.025
che,s,0.4561
che,si,0.1404
che,S,0.0877
che,i,0.0702
che,ë,0.0526
che,Si,0.0175
chen,s,0.325
chen,si,0.1125
chen,S,0.075
chen,i,0.05
chen,ë,0.0375
chen,cor,0.025
cho,s,0.325
cho,si,0.1125
cho,S,0.075
cho,i,0.05
cho,ë,0.0375
cho,cor,0.025
chou,ëo,0.3333
chou,ëuk,0.1667
chou,um,0.1667
chou,osu,0.1667
chou,ëu,0.1667
chouen,s,0.325
chouen,si,0.1125
chouen,S,0.075
chouen,i,0.05
chouen,ë,0.0375
chouen,cor,0.025
chouo,s,0.325
chouo,si,0.1125
chouo,S,0.075
chouo,i,0.05
chouo,ë,0.0375
chouo,cor,0.025
cul,r,0.059
cul,s,0.0353
cul,qa,0.031
cul,i,0.0252
cul,a,0.0216
cul,Ga,0.0209
e,r,0.5766
e,a,0.1971
e,n,0.0219
e,e,0.0219
e,gaq,0.0146
e,ort,0.0146
eng,r,0.5766
eng,a,0.1971
eng,n,0.0219
eng,e,0.0219
eng,gaq,0.0146
eng,ort,0.0146
eul,r,0.8681
eul,ort,0.022
eul,rcq,0.011
eul,gir,0.011
eul,nge,0.011
eul,G,0.011
f,tu,0.2093
f,ta,0.186
f,to,0.1628
f,t,0.1628
f,tan,0.0465
f,teu,0.0233
fa,ta,0.625
fa,var,0.125
fa,te,0.125
fa,t,0.125
fan,tu,0.2093
fan,ta,0.186
fan,to,0.1628
fan,t,0.1628
fan,tan,0.0465
fan,teu,0.0233
fang,tu,0.2093
fang,ta,0.186
fang,to,0.1628
fang,t,0.1628
fang,tan,0.0465
fang,teu,0.0233
fao,tu,0.2093
fao,ta,0.186
fao,to,0.1628
fao,t,0.1628
fao,tan,0.0465
fao,teu,0.0233
fc'ien,tu,0.2093
fc'ien,ta,0.186
fc'ien,to,0.1628
fc'ien,t,0.1628
fc'ien,tan,0.0465
fc'ien,teu,0.0233
feou,tu,0.2093
feou,ta,0.186
feou,to,0.1628
feou,t,0.1628
feou,tan,0.0465
feou,teu,0.0233
fi,tu,0.2093
fi,ta,0.186
fi,to,0.1628
fi,t,0.1628
fi,tan,0.0465
fi,teu,0.0233
fing,tu,0.2093
fing,ta,0.186
fing,to,0.1628
fing,t,0.1628
fing,tan,0.0465
fing,teu,0.0233
fo,tu,0.2093
fo,ta,0.186
fo,to,0.1628
fo,t,0.1628
fo,tan,0.0465
fo,teu,0.0233
fong,tu,0.2093
fong,ta,0.186
fong,to,0.1628
fong,t,0.1628
fong,tan,0.0465
fong,teu,0.0233
for,tu,0.2093
for,ta,0.186
for,to,0.1628
for,t,0.1628
for,tan,0.0465
for,teu,0.0233
fou,tu,0.4091
fou,to,0.2727
fou,t,0.2273
fou,gto,0.0455
fou,tob,0.0455
fouen,tu,0.2093
fouen,ta,0.186
fouen,to,0.1628
fouen,t,0.1628
fouen,tan,0.0465
fouen,teu,0.0233
gauarsa,r,0.059
gauarsa,s,0.0353
gauarsa,qa,0.031
gauarsa,i,0.0252
gauarsa,a,0.0216
gauarsa,Ga,0.0209
gauata,r,0.059
gauata,s,0.0353
gauata,qa,0.031
gauata,i,0.0252
gauata,a,0.0216
gauata,Ga,0.0209
ha,qa,0.6324
ha,Ga,0.1618
ha,qar,0.0441
ha,qaG,0.0294
ha,Gaq,0.0294
ha,tu,0.0147
han,qan,0.5556
han,Gan,0.3333
han,al,0.1111
hei,qi,0.7
hei,Gi,0.2
hei,qiu,0.1
hen,Gin,0.4
hen,in,0.2
hen,Gil,0.2
hen,uqi,0.2
hie,qa,0.4135
hie,Ga,0.1058
hie,Gu,0.0673
hie,qi,0.0673
hie,qan,0.0481
hie,qar,0.0288
hiun,qa,0.4135
hiun,Ga,0.1058
hiun,Gu,0.0673
hiun,qi,0.0673
hiun,qan,0.0481
hiun,qar,0.0288
hou,Gu,0.7
hou,qu,0.2
hou,qup,0.1
houa,qa,0.4135
houa,Ga,0.1058
houa,Gu,0.0673
houa,qi,0.0673
