idx,gloss,chinese,uyghur_variants
2,深,塔林,təring | täriŋ | täriŋ
3,參政,參政,sangjem | saŋčïm | saŋčïm
4,至今,俺的黑以斤察,amtï-qï yitginčä
5,樣,仰只,yangje | yaŋčï | yaŋčï
6,愛軍,扯力泥膽喇,qərik-ni təbləp | čärik-ni täbläp čärig-ni taplap
7,女婿,坤得苦即,kütəgüsi | kütägüsi | küdägüsi
8,日日,坤坤寧克,kün küningə kün küningä kün küningä
9,忠,煖答,noda | noda | nuta
10,雜字,傘庫兒必的,saḳurt bitig saqurt bitig | saɣurt bitig
11,豆蔻,苦兒思闌,ḳurslang | qurslaŋ | qurslaŋ
12,獅子,阿兒思闌設兒,arslaŋ šir | arslaŋ šer
13,升,以申,ixing | išiŋ | išiŋ
14,千,民,ming | miŋ | miŋ
15,藍,傘克力,səngkəri | säŋkäri | säŋgäri
16,慶賀,欵祿喇尊,qutluγlasun
17,日日,坤坤寧克,kün küningə | kün küningä | kün küningä
18,你每,塞寧,səning | säniŋ | säniŋ
19,豬,統庫思,tonguz | tonguz | tonguz
20,窗,統祿,tünglük (tünlük) | tüŋlük | tṳnglük
21,易,翁該,ongay | ongay | ongai
22,經過,翁克喇,önggäräp
23,柴,兀東,odung (otun) | oduŋ(otun) | otuŋ(otun)
24,本,卜東,budun | budun | bṳdün
25,築,仰尺,yanqep | yančïp | yančïp
26,從新,仰起剌,yangelatmex yaŋïlatmïš | yaŋïlatmïš
27,報,仰都兒呼,yandurġu | yandurγu | yanturɣu
28,樣,仰只,yangje | yaŋčï | yaŋči
29,西天,昂答克,əndəkə ändäkä | äntkä
30,鞠躬,昂几,anget | aŋït | angït
31,珠,永諸,ünjü | ünčü ünčü
32,差遣,永設,yumxap | yumšap | yumšap
33,軟善,永沙呀法失,yumšaq yawaš yumšaq yavaš
34,拜,羽恭,yükün | yükün | yṳkün
35,朝,羽恭克力,yükünkəli | yükünkäli | yüküngäli
36,參政,參政,saŋčïm | saŋčïm
37,祖,阿卜更,abukəng | abuqïŋ | äbügäŋ
