coda,idx,pinyin,char,char_variants,she,mc_pulleyblank,zyyy,om_ning
-m,1,n,俺,,Xián 咸,ʔiam,Yánxián 監咸,ŋam
-m,2,cān,參,,Xián 咸,tsʰəm,Yánxián 監咸,tsʰam
-m,3,chàn,䩞,,Xián 咸,tɕʰiam,Liánxiān 廉纖,tʂʰiɛm
-m,4,dn,膽,,Xián 咸,tam,Yánxián 監咸,tam
-m,5,diǎn,點,,Xián 咸,tɛm,Liánxiān 廉纖,tiɛm
-m,6,diàn,店,,Xián 咸,tɛm,Liánxiān 廉纖,tiɛm
-m,7,kn,坎,,Xián 咸,kʰəm,Yánxián 監咸,kʰiam
-m,8,lián,廉,,Xián 咸,liam,Liánxiān 廉纖,liɛm
-m,9,lín,林,,Shēn 深,lim,Qīnxún 侵尋,liəm
-m,10,nán,南,,Xián 咸,nəm,Yánxián 監咸,nam
-m,11,qiān,僉,,Xián 咸,tsʰiam,Liánxiān 廉纖,tsʰiɛm
-m,12,qiān,謙,,Xián 咸,kʰɛm,Liánxiān 廉纖,kʰiɛm
-m,13,qīn,欽,,Shēn 深,kʰim,Qīnxún 侵尋,kʰiəm
-m,14,sān,三,,Xián 咸,sam,Yánxián 監咸,sam
-m,15,shn,陝,,Xián 咸,ɕiam,Liánxiān 廉纖,ʂiɛm
-m,16,shēn,深,,Shēn 深,ɕim,Qīnxún 侵尋,ʂiəm
-m,17,shěn,審,,Shēn 深,ɕim,Qīnxún 侵尋,ʂiəm
-m,18,shèn,甚,,Shēn 深,dʑim,Qīnxún 侵尋,ʂiəm
-m,20,tán,談,,Xián 咸,dam,Yánxián 監咸,tʰam
-n,1,ān,安,,Shān 山,ʔan,Hánshān 寒山,an
-n,2,bān,班,,Shān 山,paɨn,Hánshān 寒山,pan
-n,3,bn,板,,Shān 山,paɨn,Hánshān 寒山,pan
-n,4,chēn,嗔,,Zhēn 臻,tɕʰin,Zhēnwén 真文,tʂʰiən
-n,5,chuān,川,,Shān 山,tɕʰwian,Xiāntiān 先天,tʂʰiuɛn
-n,6,chun,喘,,Shān 山,tɕʰwian,Xiāntiān 先天,tʂʰiuɛn
-n,7,chūn,春,,Zhēn 臻,tɕʰwin,Zhēnwén 真文,tʂʰiuən
-n,8,dān,丹,,Shān 山,tan,Hánshān 寒山,tan
-n,9,dūn,敦,,Zhēn 臻,twən,Zhēnwén 真文,tuən
-n,10,dùn,鈍,,Zhēn 臻,dwən,Zhēnwén 真文,tuən
-n,11,gān,干,,Shān 山,kan,Hánshān 寒山,kan
-n,12,guān,冠,,Shān 山,kwan,Huánhuān 桓歡,kuɔn
