idx,gloss,chinese,uyghur_variants,uyghur_used,match_loose,match_tight,positions_scored
2,深,塔林,təring | täriŋ | täriŋ,täriŋ,1.0,1.0,2
3,參政,參政,sangjem | saŋčïm | saŋčïm,saŋčïm,1.0,0.5,2
4,至今,俺的黑以斤察,amtï-qï yitginčä,amtï-qï yitginčä,0.833,0.833,6
5,樣,仰只,yangje | yaŋčï | yaŋčï,yaŋčï,0.5,0.5,2
6,愛軍,扯力泥膽喇,qərik-ni təbləp | čärik-ni täbläp čärig-ni taplap,čärik-ni täbläp čärig-ni taplap,1.0,1.0,3
7,女婿,坤得苦即,kütəgüsi | kütägüsi | küdägüsi,küdägüsi,1.0,0.75,4
8,日日,坤坤寧克,kün küningə kün küningä kün küningä,kün küningə kün küningä kün küningä,1.0,1.0,4
9,忠,煖答,noda | noda | nuta,nuta,1.0,1.0,2
10,雜字,傘庫兒必的,saḳurt bitig saqurt bitig | saɣurt bitig,saɣurt bitig,0.5,0.5,4
11,豆蔻,苦兒思闌,ḳurslang | qurslaŋ | qurslaŋ,qurslaŋ,0.5,0.5,2
12,獅子,阿兒思闌設兒,arslaŋ šir | arslaŋ šer,arslaŋ šer,0.667,0.667,3
13,升,以申,ixing | išiŋ | išiŋ,išiŋ,1.0,0.5,2
14,千,民,ming | miŋ | miŋ,miŋ,1.0,1.0,1
15,藍,傘克力,səngkəri | säŋkäri | säŋgäri,säŋgäri,1.0,1.0,3
16,慶賀,欵祿喇尊,qutluγlasun,qutluγlasun,1.0,0.667,3
17,日日,坤坤寧克,kün küningə | kün küningä | kün küningä,kün küningä,1.0,1.0,4
18,你每,塞寧,səning | säniŋ | säniŋ,säniŋ,1.0,1.0,2
19,豬,統庫思,tonguz | tonguz | tonguz,tonguz,1.0,1.0,2
20,窗,統祿,tünglük (tünlük) | tüŋlük | tṳnglük,tṳnglük,1.0,1.0,1
21,易,翁該,ongay | ongay | ongai,ongai,1.0,1.0,2
22,經過,翁克喇,önggäräp,önggäräp,1.0,1.0,2
23,柴,兀東,odung (otun) | oduŋ(otun) | otuŋ(otun),otuŋ(otun),1.0,1.0,2
24,本,卜東,budun | budun | bṳdün,bṳdün,1.0,1.0,1
25,築,仰尺,yanqep | yančïp | yančïp,yančïp,0.5,0.5,2
26,從新,仰起剌,yangelatmex yaŋïlatmïš | yaŋïlatmïš,yaŋïlatmïš,0.667,0.333,3
27,報,仰都兒呼,yandurġu | yandurγu | yanturɣu,yanturɣu,0.333,0.333,3
28,樣,仰只,yangje | yaŋčï | yaŋči,yaŋči,0.5,0.5,2
29,西天,昂答克,əndəkə ändäkä | äntkä,äntkä,0.5,0.0,2
30,鞠躬,昂几,anget | aŋït | angït,angït,0.5,0.5,2
31,珠,永諸,ünjü | ünčü ünčü,ünčü ünčü,1.0,1.0,2
32,差遣,永設,yumxap | yumšap | yumšap,yumšap,1.0,0.5,2
33,軟善,永沙呀法失,yumšaq yawaš yumšaq yavaš,yumšaq yawaš yumšaq yavaš,0.75,0.25,4
34,拜,羽恭,yükün | yükün | yṳkün,yṳkün,1.0,0.0,1
35,朝,羽恭克力,yükünkəli | yükünkäli | yüküngäli,yüküngäli,1.0,0.75,4
36,參政,參政,saŋčïm | saŋčïm,saŋčïm,1.0,0.5,2
37,祖,阿卜更,abukəng | abuqïŋ | äbügäŋ,äbügäŋ,1.0,1.0,3
39,商議,肯克失都,kəngkəxtük (kəngəxtür) | käŋkäštük | kängäštük,kängäštük,1.0,1.0,3
40,差遣,永設,yumxap | yumšap | yumšap,yumšap,1.0,0.5,2
41,怠惰,襖酸省答,osol semdaḳ osul sïmdaq osul sïmtaɣ,osol semdaḳ osul sïmdaq osul sïmtaɣ,1.0,1.0,3
42,許,靄丁,ayden | aydïm | aitïm,aitïm,0.0,0.0,1
43,參政,參政,sangjem | saŋčïm | saŋčïm,saŋčïm,1.0,0.5,2
44,祖,阿卜更,abukəng | abuqïŋ | äbügäŋ,äbügäŋ,1.0,1.0,3
46,深,塔林,təring | täriŋ | täriŋ,täriŋ,1.0,1.0,2
47,豆蔻,苦兒思闌,ḳurslang | qurslaŋ | qurslaŋ,qurslaŋ,0.5,0.5,2
48,獅子,阿兒思闌設兒,arslaŋ šir | arslaŋ šer,arslaŋ šer,0.667,0.667,3
49,升,以申,ixing | išiŋ | išiŋ,išiŋ,1.0,0.5,2
50,藍,傘克力,səngkəri | säŋkäri | säŋgäri,säŋgäri,1.0,1.0,3
51,千,民,ming | miŋ | miŋ,miŋ,1.0,1.0,1
52,千秋,民曲思,ming küz,ming küz,1.0,1.0,2
53,參政,參政,sangjem | saŋčïm | saŋčïm,saŋčïm,1.0,0.5,2
54,土,秃伯喇,topraḳ | topraq | topraq,topraq,1.0,1.0,2
55,土產,秃伯喇尺黑祿兒,topraḳ qeġelar topraq čïqïlur | topraq čïqïlur,topraq čïqïlur,0.5,0.5,4
56,婦,阿伯尺,abqe äbči | äpči,äpči,1.0,1.0,2
57,惱,傲伯克喇,ɵpkələp | öpkäläp | öpkäläp,öpkäläp,0.333,0.333,3
58,動,得伯喇,təbrəp | täbräp | täbräp,täbräp,1.0,1.0,2
59,終,搠伯的,qɵptik | čöptik | čöptig,čöptig,1.0,1.0,1
60,嚴,傲伯克力,ɵpkəlip | öpkälip | öpkälip,öpkälip,0.333,0.333,3
61,刮風,烟得伯喇,yəl təbrətti | yïl täbrätti | yäl täbrätdi,yäl täbrätdi,1.0,0.667,3
62,勞逸,得伯剌失孤,təbrəxkü | täbräškü | täbräšigü,täbräšigü,0.5,0.5,4
63,湯瓶,阿卜察麻,abqam-a | abčam-a | abčam-a,abčam-a,0.667,0.667,3
65,玉湯瓶,哈失阿卜察麻,ḳax abqam-a | qaš abčam-a qaš abčam-a,qaš abčam-a qaš abčam-a,0.0,0.0,5
66,橋,苦祿,kɵprɵk | köprük | köprüg,köprüg,1.0,1.0,2
67,碟,得失,təpxi | täpši | täpši,täpši,1.0,1.0,2
68,愛軍,扯力泥膽喇,qərik-ni təbləp | čärik-ni täbläp čärig-ni taplap,čärik-ni täbläp čärig-ni taplap,1.0,1.0,3
69,橋,苦祿,kɵprɵk | köprük | köprüg,köprüg,1.0,1.0,2
70,看,苦祿,kɵrüp | körüp | körüp,körüp,1.0,1.0,2
72,弟,以泥,ini | ini | ini,ini,1.0,0.5,2
74,家小,阿魯公,aylu küng | aylu küŋ | ilüküŋ = älüküŋ,ilüküŋ = älüküŋ,1.0,1.0,3
75,加陞,那麻都兒,namaptur | namaptur | nämäptür,nämäptür,1.0,1.0,3
76,花椒,呀兒麻,yarma | yarma | yarma,yarma,0.0,0.0,1
77,興起,土兒苦蘇,turġuzup | turɣuzup | turɣuzup,turɣuzup,0.333,0.333,3
78,水,蘇,suw | suw | suv,suv,1.0,1.0,1
79,生,土庫,tuġup (<tuḳ+up) tuɣup(<tuq+up),tuġup (<tuḳ+up) tuɣup(<tuq+up),0.5,0.5,2
80,河,兀庫思,ɵgüz | ögüz ögüz,ögüz ögüz,0.667,0.667,3
81,硃砂,洗省乞兒,sipsingkir | sipsiŋkir | sibsiŋgir,sibsiŋgir,1.0,1.0,3
82,醋,洗兒克,sirkə | sirkä | sirkä,sirkä,0.5,0.5,2
83,史,土尺烟,tupqeyan | tupčïyan | tobčïyan,tobčïyan,1.0,0.667,3
84,九,土庫思,toġuz | toɣuz | toquz,toquz,1.0,1.0,2
85,均平,倘叔,tangxap | täŋšäp | täŋšäp,täŋšäp,0.5,0.5,2
86,傳流,土都蘇,tudusu | tudusu | tutuzu,tutuzu,1.0,1.0,3
88,福祿,卜烟課,buyan ḳut | buyan qut | buyan qut,buyan qut,1.0,0.667,3
89,騎坐,母奴都兒,münüptür | münüptür | münüptür,münüptür,1.0,1.0,3
90,應,阿夕,aset | asït | asït,asït,1.0,1.0,2
91,胡妄,把剌,balamut | balamut | balamut,balamut,1.0,1.0,2
92,西天,昂答克,əndəkə | ändäkä | äntkä,äntkä,0.5,0.0,2
93,六十,俺的密,altmex | altmïš | altmïš,altmïš,0.0,0.0,2
94,七十,以的密,yitmix | yitmiš | yitmiš,yitmiš,1.0,1.0,2
95,報捷者,聽以庫兒庫即,til yitkürküsi | til yitkürgüši | til yitkürgüši,til yitkürgüši,0.6,0.6,5
96,慶賀,欵祿喇尊,qutluɣlasun,qutluɣlasun,1.0,0.667,3
97,火,傲,oot | oot | oot,oot,0.0,0.0,1
98,廚房,阿失力傲,axleḳ au | ašlïq aw | ašlïq äv,ašlïq äv,0.667,0.667,3
99,天曉,湯阿的,tang atte | taŋ attï | taŋ atdï,taŋ atdï,1.0,1.0,3
100,高,阿的思,adez adïz | ädiz,ädiz,1.0,1.0,2
101,天黑,卜兒孤,bürküt boldï | bürküt boldï,bürküt boldï,0.333,0.333,3
102,腸,以扯孤,iqəkü ičäkü ičägü,iqəkü ičäkü ičägü,1.0,0.5,2
103,秤,把蠻,batman | batman | batman,batman,1.0,1.0,2
104,城,把力,baleḳ balïq balïq,baleḳ balïq balïq,1.0,1.0,2
105,幼,以几,yigit | yigit yigit,yigit yigit,1.0,1.0,2
106,舊,阿思几,əski | äski | äski,äski,1.0,1.0,2
107,鴉鶻石,呀庫塔失,yaḳut tax | yaqut taš | yaqut taš,yaqut taš,1.0,1.0,2
108,鳥,庫失,ḳux | quš | quš,quš,1.0,1.0,1
109,寄放,阿麻,amat amat amat,amat amat amat,1.0,1.0,2
110,花椒,呀兒麻,yarma | yarma | yarma,yarma,0.0,0.0,1
111,至今,俺的黑以斤察,amtï-qï yitginčä,amtï-qï yitginčä,0.833,0.833,6
112,遠,以喇,yeraḳ yïraq yïraq,yeraḳ yïraq yïraq,1.0,1.0,1
114,近,呀恨,yaḳen yaqïn yaqïn,yaḳen yaqïn yaqïn,0.0,0.0,1
116,福祿,卜烟課,buyan ḳut | buyan qut | buyan qut,buyan qut,1.0,0.667,3
118,四,秃兒,tɵrt | tört | tört,tört,1.0,1.0,1
119,獸,克葉,kəyik käyik käyik,kəyik käyik käyik,1.0,0.5,2
120,驢,以設,ixək | išäk | išäk,išäk,1.0,0.5,2
121,熱,以夕板的,isik (eseḳ) bolde | isig boldï | isig boldï,isig boldï,1.0,0.75,4
122,塞,速密失,soḳmex | soqmïš | suqmïš,suqmïš,1.0,1.0,2
124,貴,把克剌,bəkələkü | bäglägü | bäglägü,bäglägü,0.667,0.667,3
125,池,訓麻,kɵlmək kölmäk | kölmäk,kölmäk,1.0,1.0,2
126,郡縣,靄麻,aymaḳ | aymaq | aimaq,aimaq,0.0,0.0,1
127,諸,哈麻,ḳamaḳ | qamaq | qamaɣ,qamaɣ,1.0,1.0,1
