chinese,pinyin,entry_type,channel_top1,path,proposed_reading,candidates
頭曼,Touman,ruler,da maṇ,"direct,direct",tuman / tümen,"頭:da(0.12),dan(0.05),dar(0.05) | 曼:maṇ(0.08),mañ(0.06),māṃ(0.06)"
冒頓,Modu / Modun,ruler,kra ta*,"direct,lhan_backoff",bagatur / baγatur ?,"冒:kra(0.01),sro(0.01),ña(0.01) | 頓*:ta(0.23),da(0.11),ti(0.10)"
稽粥,Jizhou / Jiyu,ruler,ka* ca*,"lhan_backoff,lhan_backoff",,"稽*:ka(0.34),ga(0.15),ku(0.08) | 粥*:ca(0.18),ja(0.10),cā(0.08)"
軍臣,Junchen,ruler,kuṇ ca*,"direct,lhan_backoff",,"軍:kuṇ(0.11),kak(0.03),kau(0.03) | 臣*:ca(0.18),ja(0.10),cā(0.08)"
伊稚斜,Yizhixie,ruler,i ta* ya*,"direct,lhan_backoff,lhan_backoff",,"伊:i(0.11),ī(0.06),hat(0.04) | 稚*:ta(0.23),da(0.11),ti(0.10) | 斜*:ya(0.63),yā(0.09),yan(0.06)"
烏維,Wuwei,ruler,u vi,"direct,direct",,"烏:u(0.09),uc(0.05),an(0.03) | 維:vi(0.08),bhi(0.06),vai(0.04)"
詹師廬,Zhanshilu,ruler,ca* ṣī ra*,"lhan_backoff,direct,lhan_backoff",,"詹*:ca(0.18),ja(0.10),cā(0.08) | 師:ṣī(0.15),ṣi(0.11),śi(0.06) | 廬*:ra(0.37),la(0.17),rī(0.08)"
呴犁湖,Xulihu / Goulihu,ruler,a* di ka*,"lhan_backoff,direct,lhan_backoff",,"呴*:a(0.22),u(0.15),ā(0.14) | 犁:di(0.10),dan(0.03),dar(0.03) | 湖*:ka(0.34),ga(0.15),ku(0.08)"
且鞮侯,Qiedihou,ruler,ca* ta* ka*,"lhan_backoff,lhan_backoff,lhan_backoff",,"且*:ca(0.18),ja(0.10),cā(0.08) | 鞮*:ta(0.23),da(0.11),ti(0.10) | 侯*:ka(0.34),ga(0.15),ku(0.08)"
狐鹿姑,Hulugu,ruler,a* kra ka*,"lhan_backoff,direct,lhan_backoff",,"狐*:a(0.22),u(0.15),ā(0.14) | 鹿:kra(0.01),sro(0.01),ña(0.01) | 姑*:ka(0.34),ga(0.15),ku(0.08)"
壺衍鞮,Huyandi,ruler,ka* yā ta*,"lhan_backoff,direct,lhan_backoff",,"壺*:ka(0.34),ga(0.15),ku(0.08) | 衍:yā(0.14),yan(0.04),yast(0.04) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
虛閭權渠,Xulüquanqu,ruler,an ra* ka* ka*,"direct,lhan_backoff,lhan_backoff,lhan_backoff",,"虛:an(0.02),e(0.02),iṣ(0.02) | 閭*:ra(0.37),la(0.17),rī(0.08) | 權*:ka(0.34),ga(0.15),ku(0.08) | 渠*:ka(0.34),ga(0.15),ku(0.08)"
握衍朐鞮,Woyanqudi,ruler,a* yā ka* ta*,"lhan_backoff,direct,lhan_backoff,lhan_backoff",,"握*:a(0.22),u(0.15),ā(0.14) | 衍:yā(0.14),yan(0.04),yast(0.04) | 朐*:ka(0.34),ga(0.15),ku(0.08) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
呼韓邪,Huhanye,ruler,ho ka* ya*,"direct,lhan_backoff,lhan_backoff",,"呼:ho(0.16),hūr(0.12),hatt(0.05) | 韓*:ka(0.34),ga(0.15),ku(0.08) | 邪*:ya(0.63),yā(0.09),yan(0.06)"
郅支,Zhizhi,ruler,ca* cī,"lhan_backoff,direct",,"郅*:ca(0.18),ja(0.10),cā(0.08) | 支:cī(0.23),ci(0.11),cak(0.07)"
復株累若鞮,Fuzhulei Ruodi,ruler,pa* ta* ra* jñā ta*,"lhan_backoff,lhan_backoff,lhan_backoff,direct,lhan_backoff",,"復*:pa(0.13),pā(0.13),pu(0.08) | 株*:ta(0.23),da(0.11),ti(0.10) | 累*:ra(0.37),la(0.17),rī(0.08) | 若:jñā(0.41),ja(0.09),jai(0.03) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
搜諧若鞮,Souxie Ruodi,ruler,ṣu ka* jñā ta*,"direct,lhan_backoff,direct,lhan_backoff",,"搜:ṣu(0.18),ṣat(0.05),ṣuṇ(0.05) | 諧*:ka(0.34),ga(0.15),ku(0.08) | 若:jñā(0.41),ja(0.09),jai(0.03) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
車牙若鞮,Cheya Ruodi,ruler,cha ga* jñā ta*,"direct,lhan_backoff,direct,lhan_backoff",,"車:cha(0.33),chan(0.09),chuṣ(0.09) | 牙*:ga(0.47),gha(0.07),ghā(0.07) | 若:jñā(0.41),ja(0.09),jai(0.03) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
烏珠留若鞮,Wuzhuliu Ruodi,ruler,u ca* ru jñā ta*,"direct,lhan_backoff,direct,direct,lhan_backoff",,"烏:u(0.09),uc(0.05),an(0.03) | 珠*:ca(0.18),ja(0.10),cā(0.08) | 留:ru(0.08),lo(0.05),rad(0.03) | 若:jñā(0.41),ja(0.09),jai(0.03) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
烏累若鞮,Wulei Ruodi,ruler,u ra* jñā ta*,"direct,lhan_backoff,direct,lhan_backoff",,"烏:u(0.09),uc(0.05),an(0.03) | 累*:ra(0.37),la(0.17),rī(0.08) | 若:jñā(0.41),ja(0.09),jai(0.03) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
呼都而尸道皋若鞮,Huduershi Daogao Ruodi,ruler,ho tu a* śi ṇa ka* jñā ta*,"direct,direct,lhan_backoff,direct,direct,lhan_backoff,direct,lhan_backoff",,"呼:ho(0.16),hūr(0.12),hatt(0.05) | 都:tu(0.17),tum(0.07),tam(0.04) | 而*:a(0.22),u(0.15),ā(0.14) | 尸:śi(0.10),śin(0.07),śī(0.07) | 道:ṇa(0.14),ṇe(0.08),ṇi(0.07) | 皋*:ka(0.34),ga(0.15),ku(0.08) | 若:jñā(0.41),ja(0.09),jai(0.03) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
攣鞮,Luandi,clan,ra* ta*,"lhan_backoff,lhan_backoff",*lyuan-tlïγ ?,"攣*:ra(0.37),la(0.17),rī(0.08) | 鞮*:ta(0.23),da(0.11),ti(0.10)"
虛連題,Xulianti,clan,an rad ta*,"direct,direct,lhan_backoff",,"虛:an(0.02),e(0.02),iṣ(0.02) | 連:rad(0.02),raj(0.02),rañ(0.02) | 題*:ta(0.23),da(0.11),ti(0.10)"
單于,chanyu,title,tam vār,"direct,direct",*darγwa ? / *tarqan ?,"單:tam(0.03),tañ(0.03),tuj(0.03) | 于:vār(0.23),vast(0.04),vat(0.04)"
撑犁孤塗單于,chengli gutu chanyu,title,ta* di ka* kra tam vār,"lhan_backoff,direct,lhan_backoff,direct,direct,direct",tengri qutu chanyu,"撑*:ta(0.23),da(0.11),ti(0.10) | 犁:di(0.10),dan(0.03),dar(0.03) | 孤*:ka(0.34),ga(0.15),ku(0.08) | 塗:kra(0.01),sro(0.01),ña(0.01) | 單:tam(0.03),tañ(0.03),tuj(0.03) | 于:vār(0.23),vast(0.04),vat(0.04)"
撑犁,chengli,lexical,ta* di,"lhan_backoff,direct",tengri,"撑*:ta(0.23),da(0.11),ti(0.10) | 犁:di(0.10),dan(0.03),dar(0.03)"
孤塗,gutu,lexical,ka* kra,"lhan_backoff,direct",*qut ?,"孤*:ka(0.34),ga(0.15),ku(0.08) | 塗:kra(0.01),sro(0.01),ña(0.01)"
閼氏,yanzhi / ezhi,title,an ji,"direct,direct",,"閼:an(0.02),e(0.02),iṣ(0.02) | 氏:ji(0.20),jai(0.05),jam(0.05)"
屠耆,tuqi,title,ta* jī,"lhan_backoff,direct",*toγrï ?,"屠*:ta(0.23),da(0.11),ti(0.10) | 耆:jī(0.20),jai(0.15),jam(0.06)"
谷蠡,luli / guli,title,ka* ra*,"lhan_backoff,lhan_backoff",,"谷*:ka(0.34),ga(0.15),ku(0.08) | 蠡*:ra(0.37),la(0.17),rī(0.08)"
當戶,danghu,title,ta* ka*,"lhan_backoff,lhan_backoff",,"當*:ta(0.23),da(0.11),ti(0.10) | 戶*:ka(0.34),ga(0.15),ku(0.08)"
骨都侯,guduhou,title,ka* tu ka*,"lhan_backoff,direct,lhan_backoff",,"骨*:ka(0.34),ga(0.15),ku(0.08) | 都:tu(0.17),tum(0.07),tam(0.04) | 侯*:ka(0.34),ga(0.15),ku(0.08)"
且渠,juqu,title,ca* ka*,"lhan_backoff,lhan_backoff",,"且*:ca(0.18),ja(0.10),cā(0.08) | 渠*:ka(0.34),ga(0.15),ku(0.08)"
徑路,jinglu,lexical,ka* lo,"lhan_backoff,direct",kingrak ?,"徑*:ka(0.34),ga(0.15),ku(0.08) | 路:lo(0.08),rad(0.02),raj(0.02)"
服匿,funi,lexical,pa* na*,"lhan_backoff,lhan_backoff",,"服*:pa(0.13),pā(0.13),pu(0.08) | 匿*:na(0.36),ṇa(0.11),nā(0.10)"
甌脫,outuo,lexical,a* ta*,"lhan_backoff,lhan_backoff",,"甌*:a(0.22),u(0.15),ā(0.14) | 脫*:ta(0.23),da(0.11),ti(0.10)"
胡祿,hulu,lexical,ka* ra*,"lhan_backoff,lhan_backoff",,"胡*:ka(0.34),ga(0.15),ku(0.08) | 祿*:ra(0.37),la(0.17),rī(0.08)"
匈奴,Xiongnu,ethnonym,a* nuṣ,"lhan_backoff,direct",,"匈*:a(0.22),u(0.15),ā(0.14) | 奴:nuṣ(0.12),nus(0.09),nu(0.07)"
羯,Jie,ethnonym,kar,direct,,"羯:kar(0.08),ka(0.05),kak(0.03)"
