chinese,pinyin,entry_type,lhan_chinese_side,proposed_in_literature,top1,top1_p,candidates
頭曼,Touman,ruler,do mɑnᶜ,tuman / tümen,daman,0.8583,daman 0.858 | damaN 0.119 | danman 0.007 | dama5 0.004 | danmaN 0.003 | darman 0.003 | ditman 0.002 | danma5 0.002 | darmaN 0.001 | ditmaN 0.001
冒頓,Modu / Modun,ruler,mək tuənᶜ,bagatur / baγatur ?,5ati,0.6172,5ati 0.617 | 5ada 0.194 | 5ata 0.073 | krada 0.057 | krata 0.030 | Smata 0.013 | krati 0.012 | Smati 0.001 | Smada 0.001 | sroti 0.000
稽粥,Jizhou / Jiyu,ruler,kʰeiᴮ tśuk,,kaCa,0.456,kaCa 0.456 | kaCi 0.193 | kuCa 0.088 | kuCi 0.084 | kaja 0.083 | gaCa 0.030 | gaCi 0.027 | gaja 0.025 | kuja 0.015
軍臣,Junchen,ruler,kun dźin,,kunja,0.2034,kunja 0.203 | kunCa 0.197 | kunCi 0.155 | kakCa 0.115 | kakCi 0.081 | kumCi 0.039 | kakja 0.037 | kawja 0.036 | kawCa 0.034 | kaNCa 0.031
伊稚斜,Yizhixie,ruler,ʔi ḍiᶜ ja,,itiya,0.7143,itiya 0.714 | itaya 0.117 | andaya 0.044 | idaya 0.036 | etaya 0.028 | antiya 0.020 | itiyu 0.015 | edaya 0.008 | etiya 0.005 | itiyan 0.004
烏維,Wuwei,ruler,ʔɑ wi,,ebi,0.399,ebi 0.399 | ubi 0.386 | evi 0.087 | uvi 0.084 | anvi 0.014 | ubuk 0.010 | anbi 0.005 | uCvi 0.004 | iSvi 0.004 | uCbi 0.002
詹師廬,Zhanshilu,ruler,tśam ṣi liɑ,,jaSira,0.3037,jaSira 0.304 | CiSila 0.217 | CaSira 0.174 | CiSira 0.094 | jaSiri 0.078 | CaSiri 0.045 | jaSiru 0.025 | CiSiri 0.024 | CaSiru 0.014 | jaSila 0.008
呴犁湖,Xulihu / Goulihu,ruler,huo lei gɑ,,adika,0.6759,adika 0.676 | idika 0.109 | udika 0.093 | adiga 0.082 | hadika 0.008 | adanga 0.008 | idiga 0.006 | adanka 0.005 | udiga 0.004 | adarka 0.003
且鞮侯,Qiedihou,ruler,tsɑᴮ te go,,Cataka,0.3114,Cataka 0.311 | Citaka 0.227 | jataka 0.119 | Cataku 0.062 | Catika 0.057 | Citaku 0.045 | Cidaka 0.042 | Citika 0.036 | jataku 0.024 | jatika 0.019
狐鹿姑,Hulugu,ruler,ɣuɑ lok kɑ,,a5aka,0.5278,a5aka 0.528 | akraka 0.124 | a5aga 0.077 | i5aka 0.072 | a5aku 0.072 | u5aka 0.025 | u5aga 0.016 | ukraka 0.014 | aSmaka 0.012 | i5aku 0.010
